,Round,Trend,Payoff
0,1,Increasing,4.53
1,2,Increasing,2.4
2,3,Increasing,3.87
3,4,Increasing,3.4
4,5,Increasing,5.1
5,6,Increasing,4.57
6,7,Increasing,7.23
7,8,Increasing,5.03
8,9,Increasing,4.93
9,10,Increasing,7.13
10,11,Increasing,7.63
11,12,Increasing,7.37
12,13,Increasing,7.17
13,14,Increasing,7.37
14,15,Increasing,10.1
15,16,Increasing,8.33
16,17,Increasing,8.47
17,18,Increasing,9.6
18,19,Increasing,9.3
19,20,Increasing,9.13
20,1,Flat,7.87
21,2,Flat,5.37
22,3,Flat,6.5
23,4,Flat,5.7
24,5,Flat,7.03
25,6,Flat,6.17
26,7,Flat,8.47
27,8,Flat,5.9
28,9,Flat,5.47
29,10,Flat,7.3
30,11,Flat,7.47
31,12,Flat,6.87
32,13,Flat,6.3
33,14,Flat,5.83
34,15,Flat,8.57
35,16,Flat,6.43
36,17,Flat,6.23
37,18,Flat,7.0
38,19,Flat,6.37
39,20,Flat,5.83
40,1,Decreasing,11.2
41,2,Decreasing,8.37
42,3,Decreasing,9.13
43,4,Decreasing,7.97
44,5,Decreasing,8.97
45,6,Decreasing,7.73
46,7,Decreasing,9.73
47,8,Decreasing,6.8
48,9,Decreasing,6.0
49,10,Decreasing,7.5
50,11,Decreasing,7.3
51,12,Decreasing,6.37
52,13,Decreasing,5.43
53,14,Decreasing,4.33
54,15,Decreasing,7.0
55,16,Decreasing,4.53
56,17,Decreasing,3.97
57,18,Decreasing,4.4
58,19,Decreasing,3.4
59,20,Decreasing,2.53
