,Round,Trend,Payoff
0,1,Increasing,-6.8145025495630875
1,2,Increasing,-0.1378127727542564
2,3,Increasing,13.452448781129501
3,4,Increasing,8.453342407516647
4,5,Increasing,4.3638027687929135
5,6,Increasing,2.091040915948833
6,7,Increasing,3.820176948389667
7,8,Increasing,13.91848030840756
8,9,Increasing,8.12255135767944
9,10,Increasing,12.817727961019893
10,11,Increasing,10.26314350209573
11,12,Increasing,8.514584237840822
12,13,Increasing,7.533636662833663
13,14,Increasing,17.842728207263992
14,15,Increasing,15.758651263398708
15,1,Flat,-7.8145025495630875
16,2,Flat,-2.1378127727542564
17,3,Flat,10.452448781129501
18,4,Flat,4.453342407516646
19,5,Flat,-0.6361972312070865
20,6,Flat,-3.908959084051167
21,7,Flat,-3.179823051610333
22,8,Flat,5.91848030840756
23,9,Flat,-0.8774486423205612
24,10,Flat,2.8177279610198926
25,11,Flat,-0.7368564979042698
26,12,Flat,-3.4854157621591773
27,13,Flat,-5.466363337166337
28,14,Flat,3.842728207263991
29,15,Flat,0.758651263398707
30,1,Decreasing,-8.814502549563088
31,2,Decreasing,-4.137812772754256
32,3,Decreasing,7.452448781129501
33,4,Decreasing,0.45334240751664634
34,5,Decreasing,-5.6361972312070865
35,6,Decreasing,-9.908959084051167
36,7,Decreasing,-10.179823051610333
37,8,Decreasing,-2.0815196915924403
38,9,Decreasing,-9.87744864232056
39,10,Decreasing,-7.182272038980107
40,11,Decreasing,-11.73685649790427
41,12,Decreasing,-15.485415762159178
42,13,Decreasing,-18.466363337166335
43,14,Decreasing,-10.157271792736008
44,15,Decreasing,-14.241348736601292
