"turkid","round","choice","condid","condition","startdate","enddate","timing","time_to_choose","time_to_completion"
"5e93e2a7a5de13720dffc7f9",1,0,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:26:59.212,0,460
"5e93e2a7a5de13720dffc7f9",2,1,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:28:24.023,84.8110001087189,460
"5e93e2a7a5de13720dffc7f9",3,1,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:30:34.721,130.697999954224,460
"5e93e2a7a5de13720dffc7f9",4,1,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:32:11.593,96.8719999790192,460
"5e93e2a7a5de13720dffc7f9",5,2,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:32:24.921,13.3280000686646,460
"5e93e2a7a5de13720dffc7f9",6,0,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:32:31.814,6.89299988746643,460
"5e93e2a7a5de13720dffc7f9",7,1,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:32:37.372,5.55800008773804,460
"5e93e2a7a5de13720dffc7f9",8,2,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:32:46.543,9.1710000038147,460
"5e93e2a7a5de13720dffc7f9",9,0,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:32:55.573,9.02999997138977,460
"5e93e2a7a5de13720dffc7f9",10,0,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:33:00.268,4.6949999332428,460
"5e93e2a7a5de13720dffc7f9",11,1,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:33:05.631,5.36300015449524,460
"5e93e2a7a5de13720dffc7f9",12,0,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:33:13.505,7.87400007247925,460
"5e93e2a7a5de13720dffc7f9",13,2,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:33:21.936,8.43099999427795,460
"5e93e2a7a5de13720dffc7f9",14,2,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:33:27.996,6.05999994277954,460
"5e93e2a7a5de13720dffc7f9",15,0,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:33:33.381,5.38499999046326,460
"5e93e2a7a5de13720dffc7f9",16,0,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:33:40.949,7.56799983978271,460
"5e93e2a7a5de13720dffc7f9",17,0,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:33:48.869,7.92000007629395,460
"5e93e2a7a5de13720dffc7f9",18,1,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:33:55.258,6.38899993896484,460
"5e93e2a7a5de13720dffc7f9",19,2,-2,"Strongly Decreasing","2025-01-22 19:26:37","2025-01-22 19:34:17",2025-01-22 12:34:06.855,11.5970001220703,460
