StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,CouldLearn_1,CouldLearn_2,CouldLearn_3,Confidence_NC,Confidence_MS,Confidence_CV,Confidence_NC,Confidence_CV,Confidence_MS,turkid,condid,target
1/22/2025 20:05,1/22/2025 20:06,0,100,26,1,1/22/2025 20:06,R_5c7UzjCPTUkqsBC,1,0,1,2,3,,,,,67724687d85500e37b4e8f77,2,valuation
1/22/2025 20:10,1/22/2025 20:11,0,100,47,1,1/22/2025 20:11,R_725FAant4FfGJCy,0,1,0,,,,,4,4,60df4ddc673cac54d4858b00,-2,competitors
1/22/2025 20:12,1/22/2025 20:12,0,100,24,1,1/22/2025 20:12,R_8oMCTtFsEGwjdSx,1,1,0,,,2,4,,,65269c98d6fe44c6fc33119b,-2,customers
1/22/2025 20:13,1/22/2025 20:14,0,100,53,1,1/22/2025 20:14,R_8bVQF0i9dd4jd6x,0,0,0,,,,,2,4,5d64aefb85633f0019b045c4,2,competitors
1/22/2025 20:15,1/22/2025 20:16,0,100,25,1,1/22/2025 20:16,R_8Ld1zCdpDyaGN69,1,1,1,5,4,,,,,62ea20aa13d454052ce714e1,2,valuation
1/22/2025 20:16,1/22/2025 20:17,0,100,32,1,1/22/2025 20:17,R_2IYpsPPQeCmmMf7,-2,-2,-2,,,,,1,3,6025e8e1efd96422276221e8,-2,competitors
1/22/2025 20:16,1/22/2025 20:17,0,100,51,1,1/22/2025 20:17,R_1CogAbSZnNTN4qJ,0,2,1,,,4,4,,,6791193d97b07eaf91782de3,-2,customers
1/22/2025 20:17,1/22/2025 20:17,0,100,17,1,1/22/2025 20:17,R_29T1pM1BbIpg1jz,1,1,1,,,4,2,,,66cdeb8a1b24ca4b3267616c,2,customers
1/22/2025 20:17,1/22/2025 20:18,0,100,57,1,1/22/2025 20:18,R_2ACY7XC9dwIRVo5,1,1,1,,,3,5,,,63165997f0ebb81673a043b6,2,customers
1/22/2025 20:22,1/22/2025 20:23,0,100,40,1,1/22/2025 20:23,R_8hfiFQFgiqP8v9w,1,0,0,,,3,5,,,664d0d6c17b3bbd3502b2441,2,customers
1/22/2025 20:28,1/22/2025 20:28,0,100,21,1,1/22/2025 20:28,R_2Iyln22LCBL2Cqo,1,1,0,5,4,,,,,66af85b892de45bd0fefaafa,2,valuation
1/22/2025 20:31,1/22/2025 20:32,0,100,30,1,1/22/2025 20:32,R_2Cx407XllWWeZJK,-2,-2,-2,,,1,1,,,5c5a000eb7edc10001a7ee16,-2,customers
1/22/2025 20:34,1/22/2025 20:34,0,100,29,1,1/22/2025 20:34,R_38SvIm722guXAez,-1,-1,1,,,,,2,4,5e93e2a7a5de13720dffc7f9,-2,competitors
