ResponseId,Condition,Duration,StartDate,EndDate,Extremity_Bets,SubjInfluence,EdgeOver,BecameConfident,NotEnoughRound,CouldPredict,AttribDiff,SubjSlope,N_Correct_Responses,Confidence
R_1hGO953pYfLhQIL,Increasing,120,2/10/2022 6:49,2/10/2022 6:51,3,4,4,1,1,1,1,8,0,6
R_2dDQF5s6QXCMjGG,Decreasing,211,2/11/2022 16:39,2/11/2022 16:43,1,2,3,2,5,3,4,5,2,2
R_OeSoHyulN2hsHS1,Increasing,279,2/11/2022 16:38,2/11/2022 16:43,2,4,3,6,4,6,7,9,2,2
R_sYFdmqsoixcpmA9,Decreasing,271,2/11/2022 16:38,2/11/2022 16:43,2.5,2,3,3,6,3,4,8,2,4
R_2w7hZrwgtS6vjcU,Increasing,254,2/11/2022 16:40,2/11/2022 16:44,3.5,2,4,7,2,6,7,10,2,5
R_9RKANipOcFWmEZX,Decreasing,296,2/11/2022 16:40,2/11/2022 16:45,2.75,4,3,2,2,2,2,5,0,6
R_1FQhcpA6NOkIcyo,Increasing,276,2/11/2022 16:40,2/11/2022 16:45,2.75,3,2,6,5,5,5,9,2,5
R_vi7E7QtElOg8oCt,Increasing,301,2/11/2022 16:40,2/11/2022 16:45,3,1,3,7,1,6,6,8,6,4
R_2Sj1i13x7CpuiPe,Decreasing,308,2/11/2022 16:40,2/11/2022 16:45,1.5,3,3,2,5,3,4,5,5,4
R_PLNiJWMlqaoxCUh,Increasing,275,2/11/2022 16:41,2/11/2022 16:46,2,3,3,4,4,4,4,7,1,4
R_1LkacG5nbZAWXh8,Increasing,315,2/11/2022 16:41,2/11/2022 16:46,1.25,3,4,7,5,5,5,10,2,4
R_2VwILDQMD9x9Ly4,Decreasing,326,2/11/2022 16:41,2/11/2022 16:47,1.75,2,3,3,5,4,4,5,1,3
R_1kUjOnJpTqGmmcZ,Decreasing,380,2/11/2022 16:42,2/11/2022 16:48,2.25,2,4,4,6,4,4,9,1,4
R_1Q9OMQ4jUSmoWHG,Decreasing,144,3/17/2022 17:40,3/17/2022 17:42,1,1,3,1,1,1,1,4,6,1
R_1rxqif36wxyGsGJ,Increasing,155,3/17/2022 17:44,3/17/2022 17:47,3,3,4,5,3,5,5,10,3,4
R_2vdpn1IN8KRcW3L,Decreasing,186,3/17/2022 17:46,3/17/2022 17:49,1.75,3,4,3,4,5,5,5,2,4
R_1rP4Zc5GR0DYLst,Increasing,241,3/17/2022 17:47,3/17/2022 17:51,3,4,5,6,2,6,5,9,5,4
R_3iJ32QBFQ7WCqOD,Decreasing,174,3/17/2022 17:49,3/17/2022 17:51,2.25,2,3,1,6,2,4,4,1,2
R_3016gcvwjRIu3Lb,Increasing,305,3/17/2022 17:47,3/17/2022 17:52,2.5,5,5,6,2,6,6,10,0,4
R_1hywd8PnGxjF6mb,Increasing,242,3/17/2022 17:49,3/17/2022 17:53,1.5,4,5,6,5,5,6,10,4,4
R_2CHtUADyhvy2e37,Decreasing,269,3/17/2022 17:48,3/17/2022 17:53,1.75,2,1,1,3,4,4,5,1,3
R_qw0LbcqBKSfWtrj,Decreasing,286,3/17/2022 17:48,3/17/2022 17:53,2,2,3,3,5,2,4,4,1,3
R_88I12CkN8XCkIsp,Decreasing,235,3/17/2022 17:50,3/17/2022 17:54,0,1,3,2,4,1,4,7,6,1
R_2cAFuL2YYEFzYHY,Increasing,410,3/17/2022 17:47,3/17/2022 17:54,3.75,4,5,7,5,6,6,10,2,6
R_1QhL4R5mC8pm1Ea,Decreasing,354,3/17/2022 17:48,3/17/2022 17:54,1.5,4,3,2,6,5,5,4,2,2
R_eQLhzjFPzEU1SRb,Decreasing,337,3/17/2022 17:50,3/17/2022 17:55,1.5,3,4,5,4,5,5,7,3,3
R_1P0E9iEd3ZW87pu,Increasing,141,3/17/2022 17:55,3/17/2022 17:58,1.75,3,4,4,5,5,2,8,2,4
R_1eFU4iENb5v61XC,Increasing,281,3/17/2022 17:56,3/17/2022 18:00,3,4,4,6,6,6,6,10,3,5
R_2y1tozMjyKXH5B1,Decreasing,81,9/5/2022 10:38,9/5/2022 10:39,2.5,4,4,5,5,5,5,8,1,6
R_tYb986mjvN8BcbL,Decreasing,208,9/9/2022 15:25,9/9/2022 15:29,1,2,2,1,4,2,4,7,3,2
R_2QhM8k84hmLDfWX,Increasing,780,9/9/2022 15:31,9/9/2022 15:44,3.5,4,4,7,5,6,5,9,1,5
