turkid,round,choice,condid,condition,startdate,enddate,timing,time_to_choose,time_to_completion
A3PNUKFE80TO9Z,1,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:41:30Z,0,261
A3PNUKFE80TO9Z,2,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:41:53Z,22.903000116348267,261
A3PNUKFE80TO9Z,3,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:42:08Z,15.09499979019165,261
A3PNUKFE80TO9Z,4,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:42:37Z,28.844000101089478,261
A3PNUKFE80TO9Z,5,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:42:52Z,14.888999938964844,261
A3PNUKFE80TO9Z,6,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:04Z,12.513000011444092,261
A3PNUKFE80TO9Z,7,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:23Z,19.296000003814697,261
A3PNUKFE80TO9Z,8,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:34Z,10.756999969482422,261
A3PNUKFE80TO9Z,9,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:43Z,8.6010000705719,261
A3PNUKFE80TO9Z,10,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:51Z,8.053999900817871,261
A3PNUKFE80TO9Z,11,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:57Z,5.840000152587891,261
A3PNUKFE80TO9Z,12,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:01Z,4.7829999923706055,261
A3PNUKFE80TO9Z,13,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:07Z,5.460000038146973,261
A3PNUKFE80TO9Z,14,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:12Z,5.5309998989105225,261
A3PNUKFE80TO9Z,15,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:21Z,8.421000003814697,261
A3PNUKFE80TO9Z,16,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:34Z,13.60700011253357,261
A3PNUKFE80TO9Z,17,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:45Z,10.117999792098999,261
A3PNUKFE80TO9Z,18,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:54Z,9.338000059127808,261
A3PNUKFE80TO9Z,19,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:58Z,4.044000148773193,261
A3PNUKFE80TO9Z,20,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:45:02Z,3.7769999504089355,261
A1A4FV99I596WA,1,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:11Z,0,138
A1A4FV99I596WA,2,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:24Z,12.947999954223633,138
A1A4FV99I596WA,3,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:32Z,7.503999948501587,138
A1A4FV99I596WA,4,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:38Z,6.614000082015991,138
A1A4FV99I596WA,5,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:44Z,6.097999811172485,138
A1A4FV99I596WA,6,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:49Z,5.186000108718872,138
A1A4FV99I596WA,7,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:41:58Z,8.132999897003174,138
A1A4FV99I596WA,8,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:04Z,6.03000020980835,138
A1A4FV99I596WA,9,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:08Z,4.71399998664856,138
A1A4FV99I596WA,10,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:13Z,4.388000011444092,138
A1A4FV99I596WA,11,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:20Z,7.412999868392944,138
A1A4FV99I596WA,12,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:24Z,3.375,138
A1A4FV99I596WA,13,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:27Z,3.5329999923706055,138
A1A4FV99I596WA,14,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:31Z,3.4760000705718994,138
A1A4FV99I596WA,15,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:37Z,6.546999931335449,138
A1A4FV99I596WA,16,0,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:43Z,6.210000038146973,138
A1A4FV99I596WA,17,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:47Z,3.9709999561309814,138
A1A4FV99I596WA,18,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:51Z,4.196000099182129,138
A1A4FV99I596WA,19,1,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:55Z,3.2179999351501465,138
A1A4FV99I596WA,20,2,2,Strongly Increasing,2019-09-24 19:40:46,2019-09-24 19:43:04,2019-09-24T19:42:58Z,3.7799999713897705,138
A2J18K5IUQ2K4G,1,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:40Z,0,200
A2J18K5IUQ2K4G,2,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:49Z,9.139999866485596,200
A2J18K5IUQ2K4G,3,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:40:58Z,8.647000074386597,200
A2J18K5IUQ2K4G,4,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:10Z,12.589999914169312,200
A2J18K5IUQ2K4G,5,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:18Z,7.884999990463257,200
A2J18K5IUQ2K4G,6,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:26Z,7.818000078201294,200
A2J18K5IUQ2K4G,7,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:33Z,6.758000135421753,200
A2J18K5IUQ2K4G,8,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:41:45Z,12.17199993133545,200
A2J18K5IUQ2K4G,9,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:42:14Z,28.759999990463257,200
A2J18K5IUQ2K4G,10,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:42:19Z,4.806999921798706,200
A2J18K5IUQ2K4G,11,0,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:42:23Z,4.799999952316284,200
A2J18K5IUQ2K4G,12,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:42:32Z,8.59000015258789,200
A2J18K5IUQ2K4G,13,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:42:37Z,4.829999923706055,200
A2J18K5IUQ2K4G,14,2,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:42:45Z,8.098000049591064,200
A2J18K5IUQ2K4G,15,1,2,Strongly Increasing,2019-09-24 19:40:24,2019-09-24 19:43:44,2019-09-24T19:42:55Z,10.52999997138977,200
