turkid,round,choice,condid,condition,startdate,enddate,timing,time_to_choose,time_to_completion,project,project_chosen,valuation,activity,customers,competitors
A3PNUKFE80TO9Z,1,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:41:30Z,0,261,2,0,1200000,Robotics,3000,5
A3PNUKFE80TO9Z,1,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:41:30Z,0,261,0,0,1000000,Electronics,11000,7
A3PNUKFE80TO9Z,1,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:41:30Z,0,261,1,1,2300000,Electronics,8000,10
A3PNUKFE80TO9Z,2,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:41:53Z,22.903000116348267,261,2,0,2000000,Artificial Intelligence,13000,12
A3PNUKFE80TO9Z,2,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:41:53Z,22.903000116348267,261,0,0,1900000,Artificial Intelligence,14000,12
A3PNUKFE80TO9Z,2,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:41:53Z,22.903000116348267,261,1,1,2600000,Electronics,2000,9
A3PNUKFE80TO9Z,3,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:42:08Z,15.09499979019165,261,2,0,500000,Biotechnology,11000,14
A3PNUKFE80TO9Z,3,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:42:08Z,15.09499979019165,261,0,1,800000,Artificial Intelligence,9000,9
A3PNUKFE80TO9Z,3,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:42:08Z,15.09499979019165,261,1,0,500000,Artificial Intelligence,5000,7
A3PNUKFE80TO9Z,4,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:42:37Z,28.844000101089478,261,2,1,2100000,Artificial Intelligence,3000,5
A3PNUKFE80TO9Z,4,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:42:37Z,28.844000101089478,261,0,0,2500000,Artificial Intelligence,14000,7
A3PNUKFE80TO9Z,4,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:42:37Z,28.844000101089478,261,1,0,2100000,Artificial Intelligence,7000,7
A3PNUKFE80TO9Z,5,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:42:52Z,14.888999938964844,261,2,1,1000000,Artificial Intelligence,6000,6
A3PNUKFE80TO9Z,5,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:42:52Z,14.888999938964844,261,0,0,500000,Robotics,3000,14
A3PNUKFE80TO9Z,5,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:42:52Z,14.888999938964844,261,1,0,1100000,Artificial Intelligence,2000,9
A3PNUKFE80TO9Z,6,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:04Z,12.513000011444092,261,2,0,900000,Robotics,14000,6
A3PNUKFE80TO9Z,6,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:04Z,12.513000011444092,261,0,0,500000,Biotechnology,2000,7
A3PNUKFE80TO9Z,6,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:04Z,12.513000011444092,261,1,1,1800000,Electronics,8000,5
A3PNUKFE80TO9Z,7,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:23Z,19.296000003814697,261,2,0,2900000,Artificial Intelligence,9000,9
A3PNUKFE80TO9Z,7,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:23Z,19.296000003814697,261,0,1,2900000,Biotechnology,12000,6
A3PNUKFE80TO9Z,7,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:23Z,19.296000003814697,261,1,0,2400000,Robotics,8000,5
A3PNUKFE80TO9Z,8,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:34Z,10.756999969482422,261,2,0,2100000,Artificial Intelligence,4000,13
A3PNUKFE80TO9Z,8,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:34Z,10.756999969482422,261,0,0,800000,Electronics,12000,8
A3PNUKFE80TO9Z,8,1,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:34Z,10.756999969482422,261,1,1,2600000,Electronics,4000,7
A3PNUKFE80TO9Z,9,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:43Z,8.6010000705719,261,2,0,800000,Electronics,5000,5
A3PNUKFE80TO9Z,9,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:43Z,8.6010000705719,261,0,1,1600000,Electronics,3000,10
A3PNUKFE80TO9Z,9,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:43Z,8.6010000705719,261,1,0,700000,Electronics,12000,7
A3PNUKFE80TO9Z,10,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:51Z,8.053999900817871,261,2,1,3000000,Artificial Intelligence,14000,8
A3PNUKFE80TO9Z,10,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:51Z,8.053999900817871,261,0,0,700000,Robotics,3000,2
A3PNUKFE80TO9Z,10,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:51Z,8.053999900817871,261,1,0,1000000,Electronics,7000,5
A3PNUKFE80TO9Z,11,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:57Z,5.840000152587891,261,2,0,1800000,Biotechnology,11000,12
A3PNUKFE80TO9Z,11,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:57Z,5.840000152587891,261,0,1,2000000,Artificial Intelligence,6000,9
A3PNUKFE80TO9Z,11,0,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:43:57Z,5.840000152587891,261,1,0,800000,Biotechnology,9000,2
A3PNUKFE80TO9Z,12,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:01Z,4.7829999923706055,261,2,1,2600000,Electronics,5000,12
A3PNUKFE80TO9Z,12,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:01Z,4.7829999923706055,261,0,0,2000000,Biotechnology,4000,9
A3PNUKFE80TO9Z,12,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:01Z,4.7829999923706055,261,1,0,1800000,Artificial Intelligence,2000,9
A3PNUKFE80TO9Z,13,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:07Z,5.460000038146973,261,2,1,2700000,Biotechnology,14000,2
A3PNUKFE80TO9Z,13,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:07Z,5.460000038146973,261,0,0,1800000,Robotics,11000,9
A3PNUKFE80TO9Z,13,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:07Z,5.460000038146973,261,1,0,2100000,Artificial Intelligence,14000,5
A3PNUKFE80TO9Z,14,2,2,Strongly Increasing,2019-09-24 19:40:47,2019-09-24 19:45:08,2019-09-24T19:44:12Z,5.5309998989105225,261,2,1,2200000,Robotics,6000,3
