EasierOrHarder,ProjectChoice,Wager_1,AttImport_MV,AttImport_SA,AttImport_MS,AttImport_NC,BecameConfident,NotEnoughRound,CouldPredict,AttribUseful,AttribDiff,SubjSlope,turkid,condid,bonusearned,DiffPredict
5,1,4,3,4,3,2,5,4,5,6,5,4,AK3L1YS2HAYL7,0,18,2
7,1,9,5,4,5,3,7,6,5,7,6,7,A3IE3G1JC4XFGN,0,28,2
6,1,3,5,2,4,4,4,3,2,5,4,4,AUCHGHY1IKZZK,2,16,2
5,1,7,4,3,4,3,5,3,5,5,6,5,A30UE6DWFNUCWX,0,24,2
5,0,3,3,2,4,3,4,5,3,4,2,4,A1299WL9DI3TEF,0,16,0
2,0,2,5,2,2,4,3,6,3,5,6,3,A1LR0VQIHQUJAM,0,14,2
4,1,7,4,5,5,3,5,6,6,7,5,7,A3774HPOUKYTX7,2,24,2
7,2,10,1,1,1,5,1,1,1,3,7,3,A2FEPNA8OA1UE,2,30,2
6,2,10,2,1,4,5,7,1,7,7,7,7,A324KCBTOD3P6Y,2,30,-2
6,2,10,5,2,2,5,5,2,6,6,7,5,A1YSYI926BBOHW,0,30,-1
6,0,7,5,4,3,5,5,5,6,5,5,6,A1A4FV99I596WA,2,24,-2
3,2,10,3,3,3,5,2,2,4,4,4,4,AFW7CMNKDWXZC,0,30,0
6,1,8,4,5,4,5,6,7,6,7,5,6,A2AGVSN2004YMQ,2,26,2
4,2,10,1,1,1,5,2,2,2,2,2,2,A3I9FTHSULHPYS,2,30,0
5,2,1,3,4,4,4,5,4,5,5,5,5,A1M3HU7RRX0BXZ,2,12,-2
5,1,5,4,3,2,2,5,4,4,5,5,4,A3HZFB2JLF3JMY,2,20,2
4,1,5,1,1,3,3,4,5,4,4,4,6,ARI1EMAHUA9PO,2,20,-1
6,1,10,4,5,5,2,7,2,7,5,7,7,A2S75O867RJG0I,2,30,-1
4,1,10,3,2,4,4,4,4,4,4,5,5,A2J18K5IUQ2K4G,2,30,0
4,1,10,3,3,3,3,4,4,4,4,4,4,AKMIORNF40ST7,2,30,0
3,2,10,2,4,2,5,6,4,5,6,6,6,ALDWVFR4I0V2D,2,30,1
5,2,10,3,4,5,5,5,3,5,6,6,7,A1VAL7L9L79IN0,2,30,-1
6,0,7,4,5,3,4,5,6,7,5,6,5,A2OFRJHPNIMPI7,0,24,1
3,1,10,3,2,2,3,2,2,2,2,5,5,A36GU3OHGLDS8R,0,30,-1
5,2,5,2,4,3,4,6,1,7,6,7,7,A219Y0MX694TM2,2,20,-1
5,0,10,4,5,4,4,5,4,5,6,6,6,AM7Y47LTJKDAN,2,30,-1
5,1,4,3,2,4,4,6,2,5,5,5,5,A2XFO0X6RCS98M,0,18,1
4,1,10,2,1,3,3,2,5,3,4,5,3,A11S8IAAVDXCUS,0,30,-2
4,2,9,3,2,3,3,6,5,6,5,6,6,A31PXEBRLT9LW,2,28,-1
5,0,5,4,3,3,3,6,2,5,6,5,5,A3PKTPXXORWR97,2,20,-2
4,2,10,2,3,2,2,5,3,5,5,6,6,AUSRHMZM3R6CW,2,30,-3
4,2,10,2,3,4,4,6,2,5,6,5,6,A12A5GVJX5RZC4,2,30,-1
5,2,5,2,2,3,5,4,3,4,4,7,4,A3MZXFELFJGA4H,2,20,-3
5,2,10,2,4,1,2,6,6,6,6,7,6,A2EQOFJNKS7RCN,2,30,-1
6,1,10,1,2,4,4,6,2,6,5,6,7,A1OZPLHNIU1519,2,30,-1
2,2,0,2,2,2,4,1,7,1,1,5,1,A2HC9549CZAKNN,0,10,0
5,2,10,3,3,3,3,6,2,7,6,4,6,A12IHTKQFQIPD1,2,30,-2
1,2,10,3,4,4,2,2,6,2,4,4,3,AKX9W0NF71OI7,0,30,0
5,0,5,3,3,3,3,5,5,5,5,5,5,A2X823PACMMOKP,2,20,-2
5,2,5,2,1,3,4,5,6,5,5,6,6,A1DGO1HBALAIJU,0,20,-1
3,2,5,3,4,3,4,5,3,5,5,6,6,A2Q1C7AXB3U84W,0,20,-1
3,1,10,3,2,4,4,5,2,6,5,6,4,A2CEGS0NVDBCPT,2,30,2
4,2,10,3,3,3,5,5,4,5,5,6,6,A9O273N0X06JS,2,30,-1
3,1,10,2,2,4,3,3,7,2,4,5,2,ALDQRWYZ8KQ9A,0,30,-2
