StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,EasierOrHarder,ProjectChoice,Wager_1,AttImport_MV,AttImport_SA,AttImport_MS,AttImport_NC,BecameConfident,NotEnoughRound,CouldPredict,AttribUseful,AttribDiff,SubjSlope,turkid,condid,bonusearned
24/9/2019 21:42,24/9/2019 21:42,0,100,33,1,24/9/2019 21:42,R_1rBWDtDqRBH0tWc,5,1,4,3,4,3,2,5,4,5,6,5,4,AK3L1YS2HAYL7,0,18
24/9/2019 21:41,24/9/2019 21:42,0,100,56,1,24/9/2019 21:42,R_1Hd7uA0ngnbs0xQ,7,1,9,5,4,5,3,7,6,5,7,6,7,A3IE3G1JC4XFGN,0,28
24/9/2019 21:42,24/9/2019 21:42,0,100,36,1,24/9/2019 21:42,R_2YDHVOpS1g4p1BW,6,1,3,5,2,4,4,4,3,2,5,4,4,AUCHGHY1IKZZK,2,16
24/9/2019 21:41,24/9/2019 21:43,0,100,98,1,24/9/2019 21:43,R_1QtOEBQMuqp9l9J,5,1,7,4,3,4,3,5,3,5,5,6,5,A30UE6DWFNUCWX,0,24
24/9/2019 21:42,24/9/2019 21:43,0,100,26,1,24/9/2019 21:43,R_1oviYR4TlozaydX,5,0,3,3,2,4,3,4,5,3,4,2,4,A1299WL9DI3TEF,0,16
24/9/2019 21:42,24/9/2019 21:43,0,100,53,1,24/9/2019 21:43,R_PwCRmyIau3ZxrgJ,2,0,2,5,2,2,4,3,6,3,5,6,3,A1LR0VQIHQUJAM,0,14
24/9/2019 21:43,24/9/2019 21:43,0,100,28,1,24/9/2019 21:43,R_Pw88uGGEYon43kJ,4,1,7,4,5,5,3,5,6,6,7,5,7,A3774HPOUKYTX7,2,24
24/9/2019 21:42,24/9/2019 21:43,0,100,37,1,24/9/2019 21:43,R_1lo5Z2HU3y6oyCN,7,2,10,1,1,1,5,1,1,1,3,7,3,A2FEPNA8OA1UE,2,30
24/9/2019 21:42,24/9/2019 21:43,0,100,56,1,24/9/2019 21:43,R_1MT0v0l7NbPfUKr,6,2,10,2,1,4,5,7,1,7,7,7,7,A324KCBTOD3P6Y,2,30
24/9/2019 21:42,24/9/2019 21:43,0,100,51,1,24/9/2019 21:43,R_2yrpvy5tnJ5CWiG,6,2,10,5,2,2,5,5,2,6,6,7,5,A1YSYI926BBOHW,0,30
24/9/2019 21:43,24/9/2019 21:43,0,100,49,1,24/9/2019 21:43,R_1LHBPXTyQ98zJuN,6,0,7,5,4,3,5,5,5,6,5,5,6,A1A4FV99I596WA,2,24
24/9/2019 21:42,24/9/2019 21:44,0,100,66,1,24/9/2019 21:44,R_11YNhVyloJZb9tV,3,2,10,3,3,3,5,2,2,4,4,4,4,AFW7CMNKDWXZC,0,30
24/9/2019 21:42,24/9/2019 21:44,0,100,90,1,24/9/2019 21:44,R_2QyrR0jFvPbwQNX,6,1,8,4,5,4,5,6,7,6,7,5,6,A2AGVSN2004YMQ,2,26
24/9/2019 21:43,24/9/2019 21:44,0,100,38,1,24/9/2019 21:44,R_1HrKe2Oko8xduCd,4,2,10,1,1,1,5,2,2,2,2,2,2,A3I9FTHSULHPYS,2,30
