StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DiffPredict,workerId,loginURL,condid,turkid
24/9/2019 21:39,24/9/2019 21:40,0,100,33,1,24/9/2019 21:40,R_ZDCRpaB3WcVY0tH,2,A17TKHT8FEVH0R,https://investing-lf.herokuapp.com/login,0,A17TKHT8FEVH0R
24/9/2019 21:39,24/9/2019 21:40,0,100,30,1,24/9/2019 21:40,R_3iOPH2r7qZGaN2t,-1,AKNLD4GWEGW4U,https://investing-lf.herokuapp.com/login,-2,AKNLD4GWEGW4U
24/9/2019 21:39,24/9/2019 21:40,0,100,24,1,24/9/2019 21:40,R_1fcHgtR9YQWXLIY,-2,A324KCBTOD3P6Y,https://investing-lf.herokuapp.com/login,2,A324KCBTOD3P6Y
24/9/2019 21:39,24/9/2019 21:40,0,100,23,1,24/9/2019 21:40,R_2vcWijXOG6qpO9Z,2,AK3L1YS2HAYL7,https://investing-lf.herokuapp.com/login,0,AK3L1YS2HAYL7
24/9/2019 21:39,24/9/2019 21:40,0,100,34,1,24/9/2019 21:40,R_6SuuChRcEiA6OnT,-1,A2S75O867RJG0I,https://investing-lf.herokuapp.com/login,2,A2S75O867RJG0I
24/9/2019 21:39,24/9/2019 21:40,0,100,30,1,24/9/2019 21:40,R_2xJpMj35ItTiZnP,-1,A13JQTLPWXZD6L,https://investing-lf.herokuapp.com/login,-2,A13JQTLPWXZD6L
24/9/2019 21:39,24/9/2019 21:40,0,100,28,1,24/9/2019 21:40,R_WApz1OVaz5ftfkB,-2,A2LT9OPQXI1T4S,https://investing-lf.herokuapp.com/login,-2,A2LT9OPQXI1T4S
24/9/2019 21:39,24/9/2019 21:40,0,100,50,1,24/9/2019 21:40,R_1jqhkshTeDuQDex,0,A2J18K5IUQ2K4G,https://investing-lf.herokuapp.com/login,2,A2J18K5IUQ2K4G
24/9/2019 21:40,24/9/2019 21:40,0,100,22,1,24/9/2019 21:40,R_3GxDzAmxKcbrsQ0,2,A30UE6DWFNUCWX,https://investing-lf.herokuapp.com/login,0,A30UE6DWFNUCWX
24/9/2019 21:39,24/9/2019 21:40,0,100,38,1,24/9/2019 21:40,R_20NDx0PUyjss1nk,1,A1KFUXSVGSHL5Z,https://investing-lf.herokuapp.com/login,-2,A1KFUXSVGSHL5Z
24/9/2019 21:39,24/9/2019 21:40,0,100,32,1,24/9/2019 21:40,R_2ZCekq7L5XedUVJ,-1,A1YSYI926BBOHW,https://investing-lf.herokuapp.com/login,0,A1YSYI926BBOHW
24/9/2019 21:39,24/9/2019 21:40,0,100,38,1,24/9/2019 21:40,R_2fDopGXBxQ8I6P2,0,A3TUJHF9LW3M8N,https://investing-lf.herokuapp.com/login,-2,A3TUJHF9LW3M8N
24/9/2019 21:39,24/9/2019 21:40,0,100,48,1,24/9/2019 21:40,R_27BGr2cOHEZJUZT,-3,A3MZXFELFJGA4H,https://investing-lf.herokuapp.com/login,2,A3MZXFELFJGA4H
24/9/2019 21:40,24/9/2019 21:40,0,100,31,1,24/9/2019 21:40,R_2tDahS4RJu9OP5s,-1,A36GU3OHGLDS8R,https://investing-lf.herokuapp.com/login,0,A36GU3OHGLDS8R
24/9/2019 21:39,24/9/2019 21:40,0,100,42,1,24/9/2019 21:40,R_27xjFkxC3CvojG2,2,A3IE3G1JC4XFGN,https://investing-lf.herokuapp.com/login,0,A3IE3G1JC4XFGN
24/9/2019 21:39,24/9/2019 21:40,0,100,43,1,24/9/2019 21:40,R_XMKajUL89nTr8u5,0,A2HC9549CZAKNN,https://investing-lf.herokuapp.com/login,0,A2HC9549CZAKNN
24/9/2019 21:39,24/9/2019 21:40,0,100,45,1,24/9/2019 21:40,R_UJYpUVFT3YucXlv,-1,AM7Y47LTJKDAN,https://investing-lf.herokuapp.com/login,2,AM7Y47LTJKDAN
