turkid,choice,round,condid,condition,startdate,enddate,timing,time_to_choose,time_to_completion
45E4350FB3BD4822A222C9615DB454A6,0,1,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:08Z,0,191
45E4350FB3BD4822A222C9615DB454A6,2,2,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:26Z,17.080000162124634,191
45E4350FB3BD4822A222C9615DB454A6,0,3,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:37Z,11.468999862670898,191
45E4350FB3BD4822A222C9615DB454A6,0,4,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:51Z,13.660000085830688,191
45E4350FB3BD4822A222C9615DB454A6,2,5,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:03Z,12.83299994468689,191
45E4350FB3BD4822A222C9615DB454A6,2,6,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:08Z,4.999000072479248,191
45E4350FB3BD4822A222C9615DB454A6,1,7,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:14Z,5.4670000076293945,191
45E4350FB3BD4822A222C9615DB454A6,2,8,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:20Z,5.870999813079834,191
45E4350FB3BD4822A222C9615DB454A6,2,9,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:27Z,7.163000106811523,191
45E4350FB3BD4822A222C9615DB454A6,0,10,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:33Z,6.36299991607666,191
45E4350FB3BD4822A222C9615DB454A6,0,11,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:44Z,10.711000204086304,191
45E4350FB3BD4822A222C9615DB454A6,0,12,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:53Z,8.482999801635742,191
45E4350FB3BD4822A222C9615DB454A6,1,13,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:59Z,6.753000020980835,191
45E4350FB3BD4822A222C9615DB454A6,2,14,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:07Z,7.457000017166138,191
45E4350FB3BD4822A222C9615DB454A6,0,15,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:06:14Z,7.640000104904175,191
