turkid,choice,round,condid,condition,startdate,enddate,timing,time_to_choose,time_to_completion,project,project_chosen,valuation,activity,customers,competitors
45E4350FB3BD4822A222C9615DB454A6,0,1,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:08Z,0,191,2,0,1200000,Robotics,3000,5
45E4350FB3BD4822A222C9615DB454A6,0,1,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:08Z,0,191,0,1,1000000,Electronics,11000,7
45E4350FB3BD4822A222C9615DB454A6,0,1,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:08Z,0,191,1,0,2300000,Electronics,8000,10
45E4350FB3BD4822A222C9615DB454A6,2,2,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:26Z,17.080000162124634,191,2,1,2000000,Electronics,13000,12
45E4350FB3BD4822A222C9615DB454A6,2,2,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:26Z,17.080000162124634,191,0,0,1900000,Robotics,14000,12
45E4350FB3BD4822A222C9615DB454A6,2,2,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:26Z,17.080000162124634,191,1,0,2600000,Electronics,2000,9
45E4350FB3BD4822A222C9615DB454A6,0,3,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:37Z,11.468999862670898,191,2,0,500000,Biotechnology,11000,14
45E4350FB3BD4822A222C9615DB454A6,0,3,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:37Z,11.468999862670898,191,0,1,800000,Robotics,9000,9
45E4350FB3BD4822A222C9615DB454A6,0,3,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:37Z,11.468999862670898,191,1,0,500000,Electronics,5000,7
45E4350FB3BD4822A222C9615DB454A6,0,4,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:51Z,13.660000085830688,191,2,0,2100000,Biotechnology,3000,5
45E4350FB3BD4822A222C9615DB454A6,0,4,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:51Z,13.660000085830688,191,0,1,2500000,Robotics,14000,7
45E4350FB3BD4822A222C9615DB454A6,0,4,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:04:51Z,13.660000085830688,191,1,0,2100000,Electronics,7000,7
45E4350FB3BD4822A222C9615DB454A6,2,5,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:03Z,12.83299994468689,191,2,1,1000000,Robotics,6000,6
45E4350FB3BD4822A222C9615DB454A6,2,5,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:03Z,12.83299994468689,191,0,0,500000,Robotics,3000,14
45E4350FB3BD4822A222C9615DB454A6,2,5,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:03Z,12.83299994468689,191,1,0,1100000,Electronics,2000,9
45E4350FB3BD4822A222C9615DB454A6,2,6,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:08Z,4.999000072479248,191,2,1,900000,Robotics,14000,6
45E4350FB3BD4822A222C9615DB454A6,2,6,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:08Z,4.999000072479248,191,0,0,500000,Biotechnology,2000,7
45E4350FB3BD4822A222C9615DB454A6,2,6,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:08Z,4.999000072479248,191,1,0,1800000,Electronics,8000,5
45E4350FB3BD4822A222C9615DB454A6,1,7,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:14Z,5.4670000076293945,191,2,0,2900000,Electronics,9000,9
45E4350FB3BD4822A222C9615DB454A6,1,7,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:14Z,5.4670000076293945,191,0,0,2900000,Biotechnology,12000,6
45E4350FB3BD4822A222C9615DB454A6,1,7,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:14Z,5.4670000076293945,191,1,1,2400000,Robotics,8000,5
45E4350FB3BD4822A222C9615DB454A6,2,8,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:20Z,5.870999813079834,191,2,1,2100000,Robotics,4000,13
45E4350FB3BD4822A222C9615DB454A6,2,8,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:20Z,5.870999813079834,191,0,0,800000,Electronics,12000,8
45E4350FB3BD4822A222C9615DB454A6,2,8,1,Increasing,2025-09-12 19:03:41,2025-09-12 19:06:52,2025-09-12T19:05:20Z,5.870999813079834,191,1,0,2600000,Electronics,4000,7
