Duration_Post,StartDate_Post,EndDate_Post,CouldLearn_1,CouldLearn_2,CouldLearn_3,Confidence_NC,Confidence_MS,Confidence_CV,Slope,turkid,condid
23,9/12/2025 19:53,9/12/2025 19:54,-2,-1,-1,2,4,2,1,FD2A6686546A4D689BE4A684CD264636,0
24,9/12/2025 19:54,9/12/2025 19:54,0,1,1,2,3,3,2,1D3948866F33482DA795E9C40B53E162,1
33,9/12/2025 19:54,9/12/2025 19:54,-1,-1,-1,2,2,2,1,46331EBA4F494FAD901E83106523FF12,1
25,9/12/2025 19:54,9/12/2025 19:55,-2,-1,-1,2,2,2,2,F241D40225A941ED979E71530F7CB1F8,0
30,9/12/2025 19:56,9/12/2025 19:56,1,0,1,5,3,2,1,E5DDE86EF2474C16826D8CD81772FDDA,1
51,9/12/2025 19:55,9/12/2025 19:56,1,1,1,5,4,4,2,FF0BAF21C46C4D9ABA513C417FFA195F,1
34,9/12/2025 19:56,9/12/2025 19:57,1,1,1,4,2,2,1,68112AFABF74425F89F28C0B8E848D7A,1
84,9/12/2025 19:59,9/12/2025 20:00,2,2,2,3,4,4,1,8045543092A0404BBE680801D829C4A6,1
33,9/12/2025 20:00,9/12/2025 20:01,1,1,1,5,5,5,1,6BA87722024F425DA62A86EA204FAF32,1
45,9/12/2025 20:05,9/12/2025 20:06,1,1,1,2,3,4,1,8FFD8A377311493BB0085175099606BB,0
15,9/12/2025 21:04,9/12/2025 21:04,1,1,1,2,2,1,1,594C1B37809840A7AB34C9801D7ABA82,1
28,9/12/2025 21:04,9/12/2025 21:04,0,1,1,3,4,4,1,B4C808308BBB44908441C8E470E21B60,1
31,9/12/2025 21:04,9/12/2025 21:05,-1,-1,-1,5,4,3,1,EF607A2D2E6A4B2EA66AA505975B3335,0
27,9/12/2025 21:04,9/12/2025 21:05,2,2,2,4,3,4,2,EFEA43BDF59F4A31ABBB65B53B7A4813,1
30,9/12/2025 21:04,9/12/2025 21:05,2,2,1,5,5,5,1,FF89870C0EBB4998A3F6DB85C025E301,1
32,9/12/2025 21:04,9/12/2025 21:05,-2,-2,-2,1,1,1,2,A2C3521E6A2B4866B24DB573FC5C8F37,0
32,9/12/2025 21:04,9/12/2025 21:05,0,-1,-1,3,3,4,2,201FF15F90AF4AD4B1B2AF2A77A6231A,1
31,9/12/2025 21:05,9/12/2025 21:05,1,1,1,4,4,4,1,36A95EA2592748F6926A403C024A31C4,0
38,9/12/2025 21:05,9/12/2025 21:06,-1,-1,-1,2,3,4,1,B264D3ACA2EF47E8B5B10039A6A3AC2B,0
35,9/12/2025 21:05,9/12/2025 21:06,-2,-2,-2,1,1,1,1,284C8DE4E3DB4D37988C220586354889,0
44,9/12/2025 21:05,9/12/2025 21:06,-2,-2,-2,5,2,3,2,DA872CB354C24EB9BADDCEFCE009A1F7,0
33,9/12/2025 21:06,9/12/2025 21:06,1,2,1,5,3,3,1,6595CE9F883840DEB90CD51D36DD59F3,1
37,9/12/2025 21:06,9/12/2025 21:06,-2,-2,-2,2,1,1,1,28C4118F93FA44A0AE045B872A3B4E49,1
32,9/12/2025 21:06,9/12/2025 21:07,1,1,1,1,1,1,1,3E0C694959C1434A953B82CB77C70726,1
34,9/12/2025 21:06,9/12/2025 21:07,0,0,0,2,4,4,1,EC7A3AD32E53440FB6AEF1F8DA2C8051,1
75,9/12/2025 21:06,9/12/2025 21:07,1,1,1,3,3,2,1,1C3FEAA46E0444B8B0F96480EF8E0F8A,0
49,9/12/2025 21:06,9/12/2025 21:07,1,0,0,4,3,3,1,45E4350FB3BD4822A222C9615DB454A6,1
49,9/12/2025 21:06,9/12/2025 21:07,1,1,1,5,3,4,1,A063C7C727884D929026ADF08ACB4E50,1
40,9/12/2025 21:07,9/12/2025 21:07,-2,-2,-2,2,3,3,2,910DC34C3A2447A0BC2E208DCEAA9BF6,0
50,9/12/2025 21:07,9/12/2025 21:07,-2,-2,-2,2,2,1,1,3FF46DF6B01641518FE63D40B0668E28,1
45,9/12/2025 21:07,9/12/2025 21:07,1,1,1,1,3,3,1,3730294F3F5748E4B7FBEEF1666125B4,1
57,9/12/2025 21:06,9/12/2025 21:07,-1,1,-1,4,4,2,1,03EE79A9E05D4B96BD3D34CD7E634C81,0
