StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,CouldLearn_1,CouldLearn_2,CouldLearn_3,Confidence_NC,Confidence_MS,Confidence_CV,Slope,turkid,condid,Q_DataPolicyViolations
9/12/2025 19:53,9/12/2025 19:54,0,100,23,1,9/12/2025 19:54,R_5313KvFJTUyfOCh,anonymous,EN,-2,-1,-1,2,4,2,1,FD2A6686546A4D689BE4A684CD264636,0,NA
9/12/2025 19:54,9/12/2025 19:54,0,100,24,1,9/12/2025 19:54,R_5hsEMwRNeWyk3WV,anonymous,EN,0,1,1,2,3,3,2,1D3948866F33482DA795E9C40B53E162,1,NA
9/12/2025 19:54,9/12/2025 19:54,0,100,33,1,9/12/2025 19:54,R_6HR8yjYO02dIN6F,anonymous,EN,-1,-1,-1,2,2,2,1,46331EBA4F494FAD901E83106523FF12,1,NA
9/12/2025 19:54,9/12/2025 19:55,0,100,25,1,9/12/2025 19:55,R_6f4c4Hk5wHap4zf,anonymous,EN,-2,-1,-1,2,2,2,2,F241D40225A941ED979E71530F7CB1F8,0,NA
9/12/2025 19:56,9/12/2025 19:56,0,100,30,1,9/12/2025 19:56,R_6fuEZxYcnT8SjTb,anonymous,EN,1,0,1,5,3,2,1,E5DDE86EF2474C16826D8CD81772FDDA,1,NA
9/12/2025 19:55,9/12/2025 19:56,0,100,51,1,9/12/2025 19:56,R_7f6L0IZFLX0wtWN,anonymous,EN,1,1,1,5,4,4,2,FF0BAF21C46C4D9ABA513C417FFA195F,1,NA
9/12/2025 19:56,9/12/2025 19:57,0,100,34,1,9/12/2025 19:57,R_1dgXhyUWAzvxOIT,anonymous,EN,1,1,1,4,2,2,1,68112AFABF74425F89F28C0B8E848D7A,1,NA
9/12/2025 19:59,9/12/2025 20:00,0,100,84,1,9/12/2025 20:00,R_3mHlOHaQMmYxo0V,anonymous,EN,2,2,2,3,4,4,1,8045543092A0404BBE680801D829C4A6,1,NA
9/12/2025 20:00,9/12/2025 20:01,0,100,33,1,9/12/2025 20:01,R_6JWSWPflCPda8v2,anonymous,EN,1,1,1,5,5,5,1,6BA87722024F425DA62A86EA204FAF32,1,NA
9/12/2025 20:05,9/12/2025 20:06,0,100,45,1,9/12/2025 20:06,R_6rxcLbQ9IHClJfP,anonymous,EN,1,1,1,2,3,4,1,8FFD8A377311493BB0085175099606BB,0,NA
9/12/2025 21:04,9/12/2025 21:04,0,100,15,1,9/12/2025 21:04,R_7tmcn7aoBzxa7db,anonymous,EN,1,1,1,2,2,1,1,594C1B37809840A7AB34C9801D7ABA82,1,NA
9/12/2025 21:04,9/12/2025 21:04,0,100,28,1,9/12/2025 21:04,R_6WhP5iROQiybFyF,anonymous,EN,0,1,1,3,4,4,1,B4C808308BBB44908441C8E470E21B60,1,NA
9/12/2025 21:04,9/12/2025 21:05,0,100,31,1,9/12/2025 21:05,R_6NnctK3A87yFpOq,anonymous,EN,-1,-1,-1,5,4,3,1,EF607A2D2E6A4B2EA66AA505975B3335,0,NA
9/12/2025 21:04,9/12/2025 21:05,0,100,27,1,9/12/2025 21:05,R_6mEk4taUqE2e89j,anonymous,EN,2,2,2,4,3,4,2,EFEA43BDF59F4A31ABBB65B53B7A4813,1,NA
9/12/2025 21:04,9/12/2025 21:05,0,100,30,1,9/12/2025 21:05,R_6n3AUS6ZKP0tgyc,anonymous,EN,2,2,1,5,5,5,1,FF89870C0EBB4998A3F6DB85C025E301,1,NA
9/12/2025 21:04,9/12/2025 21:05,0,100,32,1,9/12/2025 21:05,R_1byU4QhkEyJXgaJ,anonymous,EN,-2,-2,-2,1,1,1,2,A2C3521E6A2B4866B24DB573FC5C8F37,0,NA
9/12/2025 21:04,9/12/2025 21:05,0,100,32,1,9/12/2025 21:05,R_6nLHYPjRbMutexz,anonymous,EN,0,-1,-1,3,3,4,2,201FF15F90AF4AD4B1B2AF2A77A6231A,1,NA
9/12/2025 21:05,9/12/2025 21:05,0,100,31,1,9/12/2025 21:05,R_6LaT9AC6z6Vrgf1,anonymous,EN,1,1,1,4,4,4,1,36A95EA2592748F6926A403C024A31C4,0,NA
9/12/2025 21:05,9/12/2025 21:06,0,100,38,1,9/12/2025 21:06,R_5YynS8tW6YYJkoq,anonymous,EN,-1,-1,-1,2,3,4,1,B264D3ACA2EF47E8B5B10039A6A3AC2B,0,NA
9/12/2025 21:05,9/12/2025 21:06,0,100,35,1,9/12/2025 21:06,R_6gk3om6e461V4B3,anonymous,EN,-2,-2,-2,1,1,1,1,284C8DE4E3DB4D37988C220586354889,0,NA
9/12/2025 21:05,9/12/2025 21:06,0,100,44,1,9/12/2025 21:06,R_6HCUTwLbAinmwFz,anonymous,EN,-2,-2,-2,5,2,3,2,DA872CB354C24EB9BADDCEFCE009A1F7,0,NA
9/12/2025 21:06,9/12/2025 21:06,0,100,33,1,9/12/2025 21:06,R_3NKYq5qatqZ9Z0l,anonymous,EN,1,2,1,5,3,3,1,6595CE9F883840DEB90CD51D36DD59F3,1,NA
9/12/2025 21:06,9/12/2025 21:06,0,100,37,1,9/12/2025 21:06,R_6hrS0KtO1SzZ9A7,anonymous,EN,-2,-2,-2,2,1,1,1,28C4118F93FA44A0AE045B872A3B4E49,1,NA
