turkid,condition,startdate,enddate,day,chosen_hook,chosen_length,chosen_tone,chosen_content,chosen_cta,choicestimes,time_to_choose,n_matching_best,n_matching_worst,n_changed
603cc6a69fc1fea96e18a0f0,Flat,2024-04-24 21:32:32,2024-04-24 21:35:46,1,0,0,0,0,0,2024-04-24T21:32:43Z,0,3,3,0
603cc6a69fc1fea96e18a0f0,Flat,2024-04-24 21:32:32,2024-04-24 21:35:46,2,1,0,0,0,0,2024-04-24T21:33:07Z,23.902000188827515,3,3,1
603cc6a69fc1fea96e18a0f0,Flat,2024-04-24 21:32:32,2024-04-24 21:35:46,3,2,0,0,0,0,2024-04-24T21:33:25Z,17.788999795913696,4,4,1
603cc6a69fc1fea96e18a0f0,Flat,2024-04-24 21:32:32,2024-04-24 21:35:46,4,2,0,0,0,1,2024-04-24T21:33:42Z,17.330000162124634,3,5,1
603cc6a69fc1fea96e18a0f0,Flat,2024-04-24 21:32:32,2024-04-24 21:35:46,5,2,0,1,0,0,2024-04-24T21:34:13Z,30.51199984550476,3,3,2
603cc6a69fc1fea96e18a0f0,Flat,2024-04-24 21:32:32,2024-04-24 21:35:46,6,2,0,0,1,0,2024-04-24T21:34:37Z,23.814000129699707,3,3,2
603cc6a69fc1fea96e18a0f0,Flat,2024-04-24 21:32:32,2024-04-24 21:35:46,7,2,1,0,0,0,2024-04-24T21:35:09Z,32.03200006484985,5,3,2
603cc6a69fc1fea96e18a0f0,Flat,2024-04-24 21:32:32,2024-04-24 21:35:46,8,2,2,0,0,0,2024-04-24T21:35:30Z,21.473999977111816,4,3,1
6346f601780d729da84100b8,Increasing,2024-04-24 21:26:12,2024-04-24 21:27:44,1,0,0,0,0,0,2024-04-24T21:26:28Z,0,2,3,0
6346f601780d729da84100b8,Increasing,2024-04-24 21:26:12,2024-04-24 21:27:44,2,0,1,1,1,1,2024-04-24T21:26:42Z,13.891999959945679,0,3,4
6346f601780d729da84100b8,Increasing,2024-04-24 21:26:12,2024-04-24 21:27:44,3,2,2,1,2,1,2024-04-24T21:26:52Z,9.980000019073486,3,2,3
6346f601780d729da84100b8,Increasing,2024-04-24 21:26:12,2024-04-24 21:27:44,4,2,0,0,1,0,2024-04-24T21:27:05Z,13.483000040054321,3,1,4
6346f601780d729da84100b8,Increasing,2024-04-24 21:26:12,2024-04-24 21:27:44,5,2,2,1,1,1,2024-04-24T21:27:20Z,14.860999822616577,2,2,3
6346f601780d729da84100b8,Increasing,2024-04-24 21:26:12,2024-04-24 21:27:44,6,2,2,1,2,1,2024-04-24T21:27:26Z,5.795000076293945,3,2,1
6346f601780d729da84100b8,Increasing,2024-04-24 21:26:12,2024-04-24 21:27:44,7,2,2,0,2,1,2024-04-24T21:27:33Z,7.052999973297119,4,1,1
6346f601780d729da84100b8,Increasing,2024-04-24 21:26:12,2024-04-24 21:27:44,8,2,2,0,2,0,2024-04-24T21:27:38Z,4.781000137329102,5,0,1
65c6314ad9eab9ead54d1ba2,Increasing,2024-04-24 21:35:23,2024-04-24 21:38:53,1,2,0,0,1,0,2024-04-24T21:36:04Z,0,1,4,0
65c6314ad9eab9ead54d1ba2,Increasing,2024-04-24 21:35:23,2024-04-24 21:38:53,2,0,1,1,1,1,2024-04-24T21:36:30Z,25.71399998664856,3,1,4
65c6314ad9eab9ead54d1ba2,Increasing,2024-04-24 21:35:23,2024-04-24 21:38:53,3,1,0,0,2,0,2024-04-24T21:36:50Z,20.171000003814697,1,4,5
65c6314ad9eab9ead54d1ba2,Increasing,2024-04-24 21:35:23,2024-04-24 21:38:53,4,1,1,1,1,0,2024-04-24T21:37:10Z,20.378000020980835,2,3,3
65c6314ad9eab9ead54d1ba2,Increasing,2024-04-24 21:35:23,2024-04-24 21:38:53,5,0,2,1,2,0,2024-04-24T21:37:28Z,18.256999969482422,2,1,3
65c6314ad9eab9ead54d1ba2,Increasing,2024-04-24 21:35:23,2024-04-24 21:38:53,6,0,1,0,2,1,2024-04-24T21:37:56Z,27.743000030517578,3,1,3
65c6314ad9eab9ead54d1ba2,Increasing,2024-04-24 21:35:23,2024-04-24 21:38:53,7,2,1,1,2,1,2024-04-24T21:38:21Z,24.505000114440918,5,0,2
65c6314ad9eab9ead54d1ba2,Increasing,2024-04-24 21:35:23,2024-04-24 21:38:53,8,1,1,1,2,1,2024-04-24T21:38:45Z,24.282999992370605,4,1,1
62b5dbad85ebc6b09b1a9862,Flat,2024-04-24 21:34:57,2024-04-24 21:36:25,1,0,0,0,0,0,2024-04-24T21:35:16Z,0,2,2,0
62b5dbad85ebc6b09b1a9862,Flat,2024-04-24 21:34:57,2024-04-24 21:36:25,2,1,0,0,1,0,2024-04-24T21:35:30Z,14.095999956130981,4,1,2
62b5dbad85ebc6b09b1a9862,Flat,2024-04-24 21:34:57,2024-04-24 21:36:25,3,1,0,0,1,1,2024-04-24T21:35:36Z,6.6000001430511475,5,0,1
62b5dbad85ebc6b09b1a9862,Flat,2024-04-24 21:34:57,2024-04-24 21:36:25,4,1,1,0,1,1,2024-04-24T21:35:43Z,6.942999839782715,4,0,1
62b5dbad85ebc6b09b1a9862,Flat,2024-04-24 21:34:57,2024-04-24 21:36:25,5,1,0,1,1,1,2024-04-24T21:35:49Z,5.857000112533569,4,1,2
62b5dbad85ebc6b09b1a9862,Flat,2024-04-24 21:34:57,2024-04-24 21:36:25,6,2,0,1,1,1,2024-04-24T21:35:53Z,4.374000072479248,3,2,1
62b5dbad85ebc6b09b1a9862,Flat,2024-04-24 21:34:57,2024-04-24 21:36:25,7,1,2,1,1,1,2024-04-24T21:36:09Z,15.477999925613403,3,2,2
62b5dbad85ebc6b09b1a9862,Flat,2024-04-24 21:34:57,2024-04-24 21:36:25,8,2,0,0,1,1,2024-04-24T21:36:20Z,11.400000095367432,4,1,3
5c97e1df7aa3c10014bf8c49,Increasing,2024-04-24 21:33:58,2024-04-24 21:36:29,1,0,0,0,0,0,2024-04-24T21:34:23Z,0,1,5,0
5c97e1df7aa3c10014bf8c49,Increasing,2024-04-24 21:33:58,2024-04-24 21:36:29,2,0,0,1,1,1,2024-04-24T21:35:05Z,42.22000002861023,2,2,3
5c97e1df7aa3c10014bf8c49,Increasing,2024-04-24 21:33:58,2024-04-24 21:36:29,3,0,0,1,2,1,2024-04-24T21:35:24Z,19.094000101089478,1,2,1
5c97e1df7aa3c10014bf8c49,Increasing,2024-04-24 21:33:58,2024-04-24 21:36:29,4,0,0,0,2,1,2024-04-24T21:35:35Z,10.105999946594238,0,3,1
5c97e1df7aa3c10014bf8c49,Increasing,2024-04-24 21:33:58,2024-04-24 21:36:29,5,1,0,0,0,0,2024-04-24T21:35:43Z,8.943000078201294,1,4,3
5c97e1df7aa3c10014bf8c49,Increasing,2024-04-24 21:33:58,2024-04-24 21:36:29,6,1,0,1,1,0,2024-04-24T21:35:53Z,9.751999855041504,3,2,2
