StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DV_1,DV_2,DV_3,DV_4_R,CouldLearn_1,CouldLearn_2,CouldLearn_3,1_Hook,1_Length,1_Tone,1_Content,1_CTA,2_Hook,2_Length,2_Tone,2_Content,2_CTA,EdgeProbability,turkid,condid,replicate
4/24/2024 23:27,4/24/2024 23:29,0,100,112,1,4/24/2024 23:29,R_2zC6G3zk98n9Iyl,1,1,1,0,1,-1,1,2,2,0,2,0,0,0,1,0,1,90,6346f601780d729da84100b8,1,2
4/24/2024 23:29,4/24/2024 23:30,0,100,83,1,4/24/2024 23:30,R_56kwJtuwzRdGRf0,2,2,1,-2,1,1,1,0,2,1,1,0,2,0,0,2,1,60,610303cc518cc9e3899dcbb7,1,1
4/24/2024 23:30,4/24/2024 23:31,0,100,76,1,4/24/2024 23:31,R_5Lo4Yis1vKhQGi9,2,2,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,90,5dd58453bb28b1545e09189d,1,0
4/24/2024 23:30,4/24/2024 23:31,0,100,110,1,4/24/2024 23:31,R_5aP6rEH4vHjrhgx,2,2,2,-2,2,2,2,2,1,0,1,0,0,2,1,0,1,100,5f2ed247fc40b227293a1a5e,0,0
4/24/2024 23:30,4/24/2024 23:31,0,100,74,1,4/24/2024 23:31,R_5EWK526wFf0tGAB,1,2,1,0,1,2,2,2,0,0,1,1,0,2,1,0,0,90,6266d1937cec5e7a57883e76,0,4
4/24/2024 23:30,4/24/2024 23:34,0,100,207,1,4/24/2024 23:34,R_3QgUtFKjnXGYSEE,2,1,1,-1,1,1,1,0,0,1,1,0,2,2,1,2,1,95,5edf66ed1a0915219e55d5ca,0,0
4/24/2024 23:32,4/24/2024 23:34,0,100,125,1,4/24/2024 23:34,R_2KIPAydmQsvlatN,1,1,1,-1,1,0,0,1,0,0,2,0,2,2,1,0,1,85,63653e8bb62cf485a4716fdb,0,0
4/24/2024 23:32,4/24/2024 23:34,0,100,135,1,4/24/2024 23:34,R_2QHc6IUggRGM43T,2,2,1,0,1,-1,0,2,2,0,2,1,0,0,1,0,0,100,605099303a38aa0618da3feb,1,3
4/24/2024 23:32,4/24/2024 23:34,0,100,123,1,4/24/2024 23:34,R_2P0CxU6xeHyZTKB,2,2,2,-2,1,1,0,1,1,0,1,0,2,2,1,0,1,70,65160029e4cb93dc37b0c5c8,1,1
4/24/2024 23:34,4/24/2024 23:36,0,100,114,1,4/24/2024 23:36,R_2L6Wla68AMyHl1U,2,2,2,-2,1,1,1,2,0,0,0,0,0,2,1,1,1,70,5c5da3b159ec1d0001fe5606,0,1
4/24/2024 23:35,4/24/2024 23:37,0,100,122,1,4/24/2024 23:37,R_46IWpvmaRwPIzg5,1,1,1,-1,1,0,0,2,1,0,0,0,2,0,0,0,1,80,603cc6a69fc1fea96e18a0f0,0,3
4/24/2024 23:36,4/24/2024 23:38,0,100,87,1,4/24/2024 23:38,R_32pCvdTXJFwv7bj,2,2,2,-2,2,2,2,1,1,1,1,1,0,2,0,0,0,85,6452ad03d8f9a716d9d3a0d5,0,3
4/24/2024 23:36,4/24/2024 23:38,0,100,118,1,4/24/2024 23:38,R_5Y5M2tLYXlxxxwC,2,2,2,-2,1,1,1,1,0,0,1,1,2,2,1,0,0,100,62b5dbad85ebc6b09b1a9862,0,0
4/24/2024 23:37,4/24/2024 23:39,0,100,139,1,4/24/2024 23:39,R_5ElJvqoHqJ5icaw,2,2,2,-2,2,2,2,2,1,1,2,1,1,2,0,0,0,90,5d498490ab6774001538905b,0,4
4/24/2024 23:39,4/24/2024 23:40,0,100,60,1,4/24/2024 23:40,R_5sX9bZfwFgXK8oG,2,2,2,-2,1,1,1,0,2,0,1,1,1,0,1,2,0,90,61105071fe05cd89830dcc43,1,3
