turkid,condition,replicate,startdate,enddate,week,chosen_duration,chosen_frequency,chosen_content,chosen_location,choicestimes,time_to_choose,n_matching_best,n_matching_worst,n_changed
5e78c6725088ab44b24e2545,Increasing,4,2024-04-22 19:16:02,2024-04-22 19:18:23,1,1,1,1,0,2024-04-22T19:16:17Z,0,1,1,0
5e78c6725088ab44b24e2545,Increasing,4,2024-04-22 19:16:02,2024-04-22 19:18:23,2,3,0,0,0,2024-04-22T19:16:52Z,34.54400014877319,2,3,3
5e78c6725088ab44b24e2545,Increasing,4,2024-04-22 19:16:02,2024-04-22 19:18:23,3,0,2,2,0,2024-04-22T19:17:08Z,16.78499984741211,0,2,3
5e78c6725088ab44b24e2545,Increasing,4,2024-04-22 19:16:02,2024-04-22 19:18:23,4,1,2,1,2,2024-04-22T19:17:22Z,14.11899995803833,1,0,3
5e78c6725088ab44b24e2545,Increasing,4,2024-04-22 19:16:02,2024-04-22 19:18:23,5,3,1,0,0,2024-04-22T19:17:46Z,23.52500009536743,1,2,4
5e78c6725088ab44b24e2545,Increasing,4,2024-04-22 19:16:02,2024-04-22 19:18:23,6,2,0,1,1,2024-04-22T19:17:53Z,7.04200005531311,3,1,4
5e78c6725088ab44b24e2545,Increasing,4,2024-04-22 19:16:02,2024-04-22 19:18:23,7,3,0,1,1,2024-04-22T19:18:00Z,6.822999954223633,4,1,1
5e78c6725088ab44b24e2545,Increasing,4,2024-04-22 19:16:02,2024-04-22 19:18:23,8,3,2,1,1,2024-04-22T19:18:18Z,17.866999864578247,3,0,1
65537e3626cba7aec5f01cfb,Flat,1,2024-04-22 19:13:32,2024-04-22 19:15:15,1,1,1,1,0,2024-04-22T19:13:49Z,0,2,2,0
65537e3626cba7aec5f01cfb,Flat,1,2024-04-22 19:13:32,2024-04-22 19:15:15,2,3,0,2,1,2024-04-22T19:14:01Z,11.873000144958496,2,1,4
65537e3626cba7aec5f01cfb,Flat,1,2024-04-22 19:13:32,2024-04-22 19:15:15,3,3,0,0,2,2024-04-22T19:14:08Z,7.435999870300293,1,2,2
65537e3626cba7aec5f01cfb,Flat,1,2024-04-22 19:13:32,2024-04-22 19:15:15,4,3,0,0,1,2024-04-22T19:14:12Z,3.8530001640319824,2,2,1
65537e3626cba7aec5f01cfb,Flat,1,2024-04-22 19:13:32,2024-04-22 19:15:15,5,0,2,1,1,2024-04-22T19:14:21Z,9.14299988746643,2,0,3
65537e3626cba7aec5f01cfb,Flat,1,2024-04-22 19:13:32,2024-04-22 19:15:15,6,1,1,2,1,2024-04-22T19:14:32Z,11.049999952316284,2,1,3
65537e3626cba7aec5f01cfb,Flat,1,2024-04-22 19:13:32,2024-04-22 19:15:15,7,3,0,1,0,2024-04-22T19:14:51Z,18.519999980926514,2,2,4
65537e3626cba7aec5f01cfb,Flat,1,2024-04-22 19:13:32,2024-04-22 19:15:15,8,1,2,0,1,2024-04-22T19:15:09Z,18.15499997138977,1,1,4
5797bc9aad1a6c000146818c,Flat,3,2024-04-22 19:07:26,2024-04-22 19:09:04,1,0,0,0,0,2024-04-22T19:07:39Z,0,4,0,0
5797bc9aad1a6c000146818c,Flat,3,2024-04-22 19:07:26,2024-04-22 19:09:04,2,1,1,1,1,2024-04-22T19:07:55Z,16.705999851226807,0,1,4
5797bc9aad1a6c000146818c,Flat,3,2024-04-22 19:07:26,2024-04-22 19:09:04,3,0,0,0,1,2024-04-22T19:08:13Z,17.967000007629395,3,1,3
5797bc9aad1a6c000146818c,Flat,3,2024-04-22 19:07:26,2024-04-22 19:09:04,4,0,0,1,2,2024-04-22T19:08:26Z,12.88100004196167,2,0,2
