turkid,condition,replicate,startdate,enddate,week,Content,Duration,Frequency,Location,choicestimes
542bdb6dfdf99b324ea37c3a,Increasing,4,12:39:34 AM,12:41:53 AM,1,0,0,0,0,12:40:31 AM
542bdb6dfdf99b324ea37c3a,Increasing,4,12:39:34 AM,12:41:53 AM,2,0,0,0,1,12:40:38 AM
542bdb6dfdf99b324ea37c3a,Increasing,4,12:39:34 AM,12:41:53 AM,3,0,0,0,2,12:40:44 AM
542bdb6dfdf99b324ea37c3a,Increasing,4,12:39:34 AM,12:41:53 AM,4,0,0,0,1,12:40:58 AM
542bdb6dfdf99b324ea37c3a,Increasing,4,12:39:34 AM,12:41:53 AM,5,1,0,0,1,12:41:04 AM
542bdb6dfdf99b324ea37c3a,Increasing,4,12:39:34 AM,12:41:53 AM,6,2,0,0,1,12:41:11 AM
542bdb6dfdf99b324ea37c3a,Increasing,4,12:39:34 AM,12:41:53 AM,7,2,0,1,1,12:41:27 AM
542bdb6dfdf99b324ea37c3a,Increasing,4,12:39:34 AM,12:41:53 AM,8,2,0,2,1,12:41:36 AM
544e94c4fdf99b50bd30726c,Increasing,0,12:36:36 AM,12:38:35 AM,1,0,1,0,0,12:36:47 AM
544e94c4fdf99b50bd30726c,Increasing,0,12:36:36 AM,12:38:35 AM,2,0,0,2,0,12:37:05 AM
544e94c4fdf99b50bd30726c,Increasing,0,12:36:36 AM,12:38:35 AM,3,1,0,2,0,12:37:16 AM
544e94c4fdf99b50bd30726c,Increasing,0,12:36:36 AM,12:38:35 AM,4,1,0,2,1,12:37:28 AM
544e94c4fdf99b50bd30726c,Increasing,0,12:36:36 AM,12:38:35 AM,5,1,0,1,0,12:37:39 AM
544e94c4fdf99b50bd30726c,Increasing,0,12:36:36 AM,12:38:35 AM,6,0,1,1,0,12:37:49 AM
544e94c4fdf99b50bd30726c,Increasing,0,12:36:36 AM,12:38:35 AM,7,1,2,0,0,12:38:01 AM
544e94c4fdf99b50bd30726c,Increasing,0,12:36:36 AM,12:38:35 AM,8,1,3,0,0,12:38:13 AM
54d14828fdf99b06cf9214c7,Increasing,2,12:23:58 AM,12:25:46 AM,1,0,0,0,0,12:24:36 AM
54d14828fdf99b06cf9214c7,Increasing,2,12:23:58 AM,12:25:46 AM,2,0,1,0,0,12:24:52 AM
54d14828fdf99b06cf9214c7,Increasing,2,12:23:58 AM,12:25:46 AM,3,0,2,0,0,12:24:58 AM
54d14828fdf99b06cf9214c7,Increasing,2,12:23:58 AM,12:25:46 AM,4,0,2,1,0,12:25:06 AM
54d14828fdf99b06cf9214c7,Increasing,2,12:23:58 AM,12:25:46 AM,5,0,2,2,0,12:25:13 AM
54d14828fdf99b06cf9214c7,Increasing,2,12:23:58 AM,12:25:46 AM,6,0,3,0,0,12:25:20 AM
54d14828fdf99b06cf9214c7,Increasing,2,12:23:58 AM,12:25:46 AM,7,1,3,0,0,12:25:26 AM
54d14828fdf99b06cf9214c7,Increasing,2,12:23:58 AM,12:25:46 AM,8,2,3,0,0,12:25:33 AM
55d621bbdb6a810013fa0ea0,Increasing,3,12:26:13 AM,12:27:01 AM,1,0,0,1,2,12:26:28 AM
55d621bbdb6a810013fa0ea0,Increasing,3,12:26:13 AM,12:27:01 AM,2,0,0,1,2,12:26:33 AM
55d621bbdb6a810013fa0ea0,Increasing,3,12:26:13 AM,12:27:01 AM,3,0,0,1,2,12:26:36 AM
55d621bbdb6a810013fa0ea0,Increasing,3,12:26:13 AM,12:27:01 AM,4,0,0,1,2,12:26:40 AM
55d621bbdb6a810013fa0ea0,Increasing,3,12:26:13 AM,12:27:01 AM,5,0,1,1,2,12:26:48 AM
55d621bbdb6a810013fa0ea0,Increasing,3,12:26:13 AM,12:27:01 AM,6,0,1,1,2,12:26:51 AM
55d621bbdb6a810013fa0ea0,Increasing,3,12:26:13 AM,12:27:01 AM,7,0,1,1,2,12:26:54 AM
55d621bbdb6a810013fa0ea0,Increasing,3,12:26:13 AM,12:27:01 AM,8,0,1,1,2,12:26:56 AM
55dd078350a1f7001090e238,Flat,4,12:11:02 AM,12:14:20 AM,1,0,0,2,2,12:11:30 AM
55dd078350a1f7001090e238,Flat,4,12:11:02 AM,12:14:20 AM,2,1,0,2,2,12:11:49 AM
55dd078350a1f7001090e238,Flat,4,12:11:02 AM,12:14:20 AM,3,2,0,2,2,12:12:08 AM
55dd078350a1f7001090e238,Flat,4,12:11:02 AM,12:14:20 AM,4,1,1,1,2,12:12:55 AM
55dd078350a1f7001090e238,Flat,4,12:11:02 AM,12:14:20 AM,5,0,1,1,2,12:13:05 AM
55dd078350a1f7001090e238,Flat,4,12:11:02 AM,12:14:20 AM,6,1,3,1,2,12:13:20 AM
55dd078350a1f7001090e238,Flat,4,12:11:02 AM,12:14:20 AM,7,0,3,1,2,12:13:34 AM
55dd078350a1f7001090e238,Flat,4,12:11:02 AM,12:14:20 AM,8,0,3,1,1,12:14:13 AM
5617203c5c62cf0005822f0c,Flat,4,12:27:53 AM,12:32:22 AM,1,0,1,1,0,12:28:24 AM
5617203c5c62cf0005822f0c,Flat,4,12:27:53 AM,12:32:22 AM,2,0,1,0,0,12:29:03 AM
5617203c5c62cf0005822f0c,Flat,4,12:27:53 AM,12:32:22 AM,3,0,2,0,0,12:29:37 AM
5617203c5c62cf0005822f0c,Flat,4,12:27:53 AM,12:32:22 AM,4,2,1,0,0,12:30:17 AM
5617203c5c62cf0005822f0c,Flat,4,12:27:53 AM,12:32:22 AM,5,1,1,0,0,12:30:40 AM
5617203c5c62cf0005822f0c,Flat,4,12:27:53 AM,12:32:22 AM,6,0,1,0,1,12:31:14 AM
5617203c5c62cf0005822f0c,Flat,4,12:27:53 AM,12:32:22 AM,7,0,1,0,2,12:31:37 AM
5617203c5c62cf0005822f0c,Flat,4,12:27:53 AM,12:32:22 AM,8,0,1,1,2,12:32:00 AM
56f699e876348f000c883bba,Increasing,1,12:17:21 AM,12:18:30 AM,1,0,0,0,0,12:17:31 AM
56f699e876348f000c883bba,Increasing,1,12:17:21 AM,12:18:30 AM,2,0,3,0,0,12:17:40 AM
56f699e876348f000c883bba,Increasing,1,12:17:21 AM,12:18:30 AM,3,0,3,2,0,12:17:48 AM
56f699e876348f000c883bba,Increasing,1,12:17:21 AM,12:18:30 AM,4,1,3,2,0,12:17:55 AM
56f699e876348f000c883bba,Increasing,1,12:17:21 AM,12:18:30 AM,5,2,3,2,0,12:18:00 AM
56f699e876348f000c883bba,Increasing,1,12:17:21 AM,12:18:30 AM,6,0,3,2,1,12:18:09 AM
56f699e876348f000c883bba,Increasing,1,12:17:21 AM,12:18:30 AM,7,0,3,2,2,12:18:15 AM
56f699e876348f000c883bba,Increasing,1,12:17:21 AM,12:18:30 AM,8,0,2,2,2,12:18:23 AM
572230173fbc810011c58a38,Increasing,3,12:11:54 AM,12:13:14 AM,1,0,0,0,0,12:12:00 AM
572230173fbc810011c58a38,Increasing,3,12:11:54 AM,12:13:14 AM,2,2,3,2,2,12:12:13 AM
572230173fbc810011c58a38,Increasing,3,12:11:54 AM,12:13:14 AM,3,2,0,2,2,12:12:21 AM
572230173fbc810011c58a38,Increasing,3,12:11:54 AM,12:13:14 AM,4,2,0,0,2,12:12:26 AM
572230173fbc810011c58a38,Increasing,3,12:11:54 AM,12:13:14 AM,5,0,0,2,2,12:12:31 AM
