turkid,condition,replicate,startdate,enddate,day,chosen_color,chosen_shape,chosen_size,chosen_texture,choicestimes,time_to_choose,n_matching_best,n_matching_worst,n_changed
5da753d65c6987001335a067,Flat,0,2024-05-08 19:17:35,2024-05-08 19:19:36,1,1,0,2,1,2024-05-08T19:18:01Z,0,1,3,0
5da753d65c6987001335a067,Flat,0,2024-05-08 19:17:35,2024-05-08 19:19:36,2,0,0,2,1,2024-05-08T19:18:34Z,33.07100009918213,1,2,1
5da753d65c6987001335a067,Flat,0,2024-05-08 19:17:35,2024-05-08 19:19:36,3,1,0,1,1,2024-05-08T19:18:47Z,12.440999984741211,2,2,2
5da753d65c6987001335a067,Flat,0,2024-05-08 19:17:35,2024-05-08 19:19:36,4,1,0,0,1,2024-05-08T19:18:56Z,9.350000143051147,1,2,1
5da753d65c6987001335a067,Flat,0,2024-05-08 19:17:35,2024-05-08 19:19:36,5,1,0,2,0,2024-05-08T19:19:09Z,12.549999952316284,0,4,2
5da753d65c6987001335a067,Flat,0,2024-05-08 19:17:35,2024-05-08 19:19:36,6,1,0,1,0,2024-05-08T19:19:16Z,7.450000047683716,1,3,1
5da753d65c6987001335a067,Flat,0,2024-05-08 19:17:35,2024-05-08 19:19:36,7,1,0,0,0,2024-05-08T19:19:22Z,5.841999769210815,0,3,1
5da753d65c6987001335a067,Flat,0,2024-05-08 19:17:35,2024-05-08 19:19:36,8,2,1,0,0,2024-05-08T19:19:32Z,9.515000104904175,2,1,2
6037cc68160c3e0293ff18c9,Flat,1,2024-05-08 19:07:04,2024-05-08 19:08:06,1,0,0,0,0,2024-05-08T19:07:18Z,0,0,4,0
6037cc68160c3e0293ff18c9,Flat,1,2024-05-08 19:07:04,2024-05-08 19:08:06,2,1,1,1,1,2024-05-08T19:07:27Z,8.625,1,0,4
6037cc68160c3e0293ff18c9,Flat,1,2024-05-08 19:07:04,2024-05-08 19:08:06,3,2,2,2,0,2024-05-08T19:07:34Z,6.983999967575073,3,1,4
6037cc68160c3e0293ff18c9,Flat,1,2024-05-08 19:07:04,2024-05-08 19:08:06,4,0,0,0,0,2024-05-08T19:07:42Z,7.8500001430511475,0,4,3
6037cc68160c3e0293ff18c9,Flat,1,2024-05-08 19:07:04,2024-05-08 19:08:06,5,1,1,1,1,2024-05-08T19:07:47Z,5.4709999561309814,1,0,4
6037cc68160c3e0293ff18c9,Flat,1,2024-05-08 19:07:04,2024-05-08 19:08:06,6,2,2,2,0,2024-05-08T19:07:52Z,4.92300009727478,3,1,4
6037cc68160c3e0293ff18c9,Flat,1,2024-05-08 19:07:04,2024-05-08 19:08:06,7,0,0,0,0,2024-05-08T19:07:57Z,4.694000005722046,0,4,3
6037cc68160c3e0293ff18c9,Flat,1,2024-05-08 19:07:04,2024-05-08 19:08:06,8,1,1,1,1,2024-05-08T19:08:02Z,5.110999822616577,1,0,4
5c811606aaf2af0001478fc5,Flat,3,2024-05-08 19:07:10,2024-05-08 19:08:35,1,0,1,1,1,2024-05-08T19:07:24Z,0,2,1,0
5c811606aaf2af0001478fc5,Flat,3,2024-05-08 19:07:10,2024-05-08 19:08:35,2,0,1,1,0,2024-05-08T19:07:33Z,8.71399998664856,1,2,1
5c811606aaf2af0001478fc5,Flat,3,2024-05-08 19:07:10,2024-05-08 19:08:35,3,2,2,2,0,2024-05-08T19:07:44Z,11.924999952316284,1,3,3
5c811606aaf2af0001478fc5,Flat,3,2024-05-08 19:07:10,2024-05-08 19:08:35,4,2,2,2,1,2024-05-08T19:07:56Z,11.674999952316284,2,2,1
5c811606aaf2af0001478fc5,Flat,3,2024-05-08 19:07:10,2024-05-08 19:08:35,5,0,2,2,1,2024-05-08T19:08:04Z,8.332000017166138,2,1,1
5c811606aaf2af0001478fc5,Flat,3,2024-05-08 19:07:10,2024-05-08 19:08:35,6,1,2,2,1,2024-05-08T19:08:10Z,5.67900013923645,3,1,1
5c811606aaf2af0001478fc5,Flat,3,2024-05-08 19:07:10,2024-05-08 19:08:35,7,1,2,2,0,2024-05-08T19:08:19Z,9.22599983215332,2,2,1
5c811606aaf2af0001478fc5,Flat,3,2024-05-08 19:07:10,2024-05-08 19:08:35,8,1,2,1,0,2024-05-08T19:08:27Z,7.666000127792358,1,3,1
612f916e59df6cf21323c251,Flat,3,2024-05-08 19:21:44,2024-05-08 19:23:31,1,2,1,2,0,2024-05-08T19:21:59Z,0,0,4,0
612f916e59df6cf21323c251,Flat,3,2024-05-08 19:21:44,2024-05-08 19:23:31,2,1,2,1,1,2024-05-08T19:22:21Z,22.579999923706055,1,0,4
612f916e59df6cf21323c251,Flat,3,2024-05-08 19:21:44,2024-05-08 19:23:31,3,0,0,0,0,2024-05-08T19:22:34Z,12.371999979019165,3,1,4
612f916e59df6cf21323c251,Flat,3,2024-05-08 19:21:44,2024-05-08 19:23:31,4,2,0,2,0,2024-05-08T19:22:52Z,17.894999980926514,1,3,2
612f916e59df6cf21323c251,Flat,3,2024-05-08 19:21:44,2024-05-08 19:23:31,5,0,1,2,0,2024-05-08T19:23:01Z,9.08400011062622,1,3,2
612f916e59df6cf21323c251,Flat,3,2024-05-08 19:21:44,2024-05-08 19:23:31,6,1,2,0,0,2024-05-08T19:23:13Z,12.171000003814697,1,1,3
612f916e59df6cf21323c251,Flat,3,2024-05-08 19:21:44,2024-05-08 19:23:31,7,1,2,0,1,2024-05-08T19:23:19Z,6.165999889373779,2,0,1
612f916e59df6cf21323c251,Flat,3,2024-05-08 19:21:44,2024-05-08 19:23:31,8,1,0,0,1,2024-05-08T19:23:25Z,6.1590001583099365,3,0,1
