turkid,round,choice,condid,condition,message_type,startdate,enddate,could_learn_interim_1,could_learn_interim_2,could_learn_interim_3,belief_valuation,belief_market_size,belief_competitors,belief_sector_of_activity,timing,time_to_choose,time_to_completion
1234,1,1,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:58:09Z,0,86
1234,2,0,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:58:10Z,1.948000192642212,86
1234,3,1,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:58:13Z,2.607999801635742,86
1234,4,1,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:58:15Z,1.9200000762939453,86
1234,5,2,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:58:18Z,2.9149999618530273,86
1234,6,1,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:58:21Z,3.009000062942505,86
1234,7,0,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:58:23Z,2.1570000648498535,86
1234,8,1,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:58:26Z,2.9079999923706055,86
1234,9,1,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:58:28Z,2.072000026702881,86
1234,10,0,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:58:31Z,2.484999895095825,86
1234,11,1,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:58:33Z,2.0989999771118164,86
1234,12,1,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:58:35Z,2.0480000972747803,86
1234,13,0,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:58:37Z,2.307999849319458,86
1234,14,1,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:58:40Z,2.9170000553131104,86
1234,15,1,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:59:17Z,36.575000047683716,86
1234,16,0,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:59:19Z,2.48799991607666,86
1234,17,2,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:59:22Z,2.8530001640319824,86
1234,18,1,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:59:25Z,2.7259998321533203,86
1234,19,0,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:59:27Z,1.9350001811981201,86
1234,20,1,1,Increasing,negative_test,2025-11-14 21:58:06,2025-11-14 21:59:32,-2,-1,-2,4,4,4,4,2025-11-14T21:59:29Z,2.6009998321533203,86
82D79F34B956430B90F0EF46DAE7DC41,1,2,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:34:56Z,0,252
82D79F34B956430B90F0EF46DAE7DC41,2,1,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:35:08Z,11.875999927520752,252
82D79F34B956430B90F0EF46DAE7DC41,3,0,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:35:17Z,9.191999912261963,252
82D79F34B956430B90F0EF46DAE7DC41,4,2,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:35:28Z,10.57800006866455,252
82D79F34B956430B90F0EF46DAE7DC41,5,2,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:35:35Z,7.693000078201294,252
82D79F34B956430B90F0EF46DAE7DC41,6,1,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:35:46Z,10.944999933242798,252
82D79F34B956430B90F0EF46DAE7DC41,7,0,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:35:54Z,7.799000024795532,252
82D79F34B956430B90F0EF46DAE7DC41,8,1,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:36:11Z,16.546000003814697,252
82D79F34B956430B90F0EF46DAE7DC41,9,1,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:36:17Z,6.519999980926514,252
82D79F34B956430B90F0EF46DAE7DC41,10,0,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:36:26Z,9.36299991607666,252
82D79F34B956430B90F0EF46DAE7DC41,11,0,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:36:34Z,7.538000106811523,252
82D79F34B956430B90F0EF46DAE7DC41,12,0,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:36:42Z,7.851000070571899,252
82D79F34B956430B90F0EF46DAE7DC41,13,2,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:36:52Z,9.721999883651733,252
82D79F34B956430B90F0EF46DAE7DC41,14,2,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:36:59Z,7.516000032424927,252
82D79F34B956430B90F0EF46DAE7DC41,15,0,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:37:58Z,58.68899989128113,252
82D79F34B956430B90F0EF46DAE7DC41,16,0,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:38:07Z,8.93500018119812,252
82D79F34B956430B90F0EF46DAE7DC41,17,1,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:38:19Z,11.894999980926514,252
82D79F34B956430B90F0EF46DAE7DC41,18,2,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:38:26Z,7.142999887466431,252
82D79F34B956430B90F0EF46DAE7DC41,19,2,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:38:38Z,12.342000007629395,252
82D79F34B956430B90F0EF46DAE7DC41,20,2,1,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,2025-11-15T20:38:49Z,10.450999975204468,252
98C16A8BE0E143998A224A5676B7C245,1,2,1,Increasing,positive_test,2025-11-15 19:18:40,2025-11-15 19:24:16,1,1,1,2,3,4,2,2025-11-15T19:19:10Z,0,336
98C16A8BE0E143998A224A5676B7C245,2,0,1,Increasing,positive_test,2025-11-15 19:18:40,2025-11-15 19:24:16,1,1,1,2,3,4,2,2025-11-15T19:19:39Z,29.19099998474121,336
98C16A8BE0E143998A224A5676B7C245,3,1,1,Increasing,positive_test,2025-11-15 19:18:40,2025-11-15 19:24:16,1,1,1,2,3,4,2,2025-11-15T19:20:58Z,78.80999994277954,336
98C16A8BE0E143998A224A5676B7C245,4,0,1,Increasing,positive_test,2025-11-15 19:18:40,2025-11-15 19:24:16,1,1,1,2,3,4,2,2025-11-15T19:21:21Z,23.074000120162964,336
98C16A8BE0E143998A224A5676B7C245,5,2,1,Increasing,positive_test,2025-11-15 19:18:40,2025-11-15 19:24:16,1,1,1,2,3,4,2,2025-11-15T19:21:33Z,11.652999877929688,336
98C16A8BE0E143998A224A5676B7C245,6,1,1,Increasing,positive_test,2025-11-15 19:18:40,2025-11-15 19:24:16,1,1,1,2,3,4,2,2025-11-15T19:21:39Z,6.835000038146973,336
98C16A8BE0E143998A224A5676B7C245,7,1,1,Increasing,positive_test,2025-11-15 19:18:40,2025-11-15 19:24:16,1,1,1,2,3,4,2,2025-11-15T19:21:46Z,6.186000108718872,336
98C16A8BE0E143998A224A5676B7C245,8,2,1,Increasing,positive_test,2025-11-15 19:18:40,2025-11-15 19:24:16,1,1,1,2,3,4,2,2025-11-15T19:21:51Z,5.534999847412109,336
98C16A8BE0E143998A224A5676B7C245,9,0,1,Increasing,positive_test,2025-11-15 19:18:40,2025-11-15 19:24:16,1,1,1,2,3,4,2,2025-11-15T19:22:02Z,10.45300006866455,336
98C16A8BE0E143998A224A5676B7C245,10,1,1,Increasing,positive_test,2025-11-15 19:18:40,2025-11-15 19:24:16,1,1,1,2,3,4,2,2025-11-15T19:22:11Z,9.852999925613403,336
