turkid,condition,message_type,startdate,enddate,could_learn_interim_1,could_learn_interim_2,could_learn_interim_3,belief_valuation,belief_market_size,belief_competitors,belief_sector_of_activity,time_to_completion,Duration_Post,StartDate_Post,EndDate_Post,CouldLearn_1,CouldLearn_2,CouldLearn_3,Confidence_NC,Confidence_MS,Confidence_CV,Confidence_SA,Slope,Positive_Test_First,Negative_Test_First,Positive_Test_Second,Negative_Test_Second,condid
82D79F34B956430B90F0EF46DAE7DC41,Increasing,positive_test,2025-11-15 20:34:54,2025-11-15 20:39:06,1,1,1,4,4,3,3,252,83,11/15/2025 21:39,11/15/2025 21:40,1,1,1,4,4,4,4,1,3,3,5,1,1
98C16A8BE0E143998A224A5676B7C245,Increasing,positive_test,2025-11-15 19:18:40,2025-11-15 19:24:16,1,1,1,2,3,4,2,336,78,11/15/2025 20:24,11/15/2025 20:25,1,1,1,5,3,4,2,1,3,3,5,1,1
281A15922C6E4DF2BBA0245CFD716D59,Flat,positive_test,2025-11-15 19:17:17,2025-11-15 19:25:36,-1,-1,-1,2,3,2,4,499,145,11/15/2025 20:25,11/15/2025 20:28,-1,-1,-1,3,4,2,4,1,3,3,5,1,0
8F92154D8BED4FEEBF5731E3398728FB,Flat,negative_test,2025-11-15 20:37:45,2025-11-15 20:40:26,1,0,0,4,3,2,3,161,56,11/15/2025 21:40,11/15/2025 21:41,0,0,0,4,4,4,3,1,3,3,3,3,0
6B3ED8C4972547C1A0C8D434459E6ABB,Flat,negative_test,2025-11-15 20:37:51,2025-11-15 20:42:08,-1,-1,-1,3,3,3,3,257,46,11/15/2025 21:42,11/15/2025 21:42,-2,-2,-2,3,3,3,3,2,5,1,1,5,0
2B0A2D3AAE8C4F3ABCEACA1EDEB20212,Increasing,negative_test,2025-11-15 19:29:00,2025-11-15 19:32:48,-1,-1,-1,3,4,2,2,228,52,11/15/2025 20:32,11/15/2025 20:33,-2,-2,-1,2,4,3,1,1,5,1,2,4,1
2D110C8A670E4DF0811C6FC010AF6635,Increasing,positive_test,2025-11-15 19:30:14,2025-11-15 19:33:36,-1,-1,-1,3,5,1,2,202,70,11/15/2025 20:33,11/15/2025 20:34,1,1,1,3,5,2,1,1,4,2,5,1,1
19BD49C073C342FFB0E47561FD0A0482,Flat,control,2025-11-15 19:31:33,2025-11-15 19:34:30,-1,-2,-1,2,3,2,4,177,60,11/15/2025 20:34,11/15/2025 20:35,-1,-2,-1,4,3,3,4,2,3,1,3,1,0
3765DE826DE6446F867FF77A69F2AB4D,Flat,negative_test,2025-11-15 19:23:32,2025-11-15 19:35:44,-1,-1,-1,1,3,4,1,732,67,11/15/2025 20:35,11/15/2025 20:36,-2,-2,-2,2,2,3,3,2,5,1,1,5,0
1F6D14219DB14F748F80AE9837CEEDF0,Flat,negative_test,2025-11-15 19:35:58,2025-11-15 19:38:25,-1,0,1,4,3,4,3,147,95,11/15/2025 20:38,11/15/2025 20:40,1,0,1,4,2,4,3,2,4,3,1,4,0
3C459936A9AC48A1B99C6D3ED0D8B000,Increasing,positive_test,2025-11-15 20:37:27,2025-11-15 20:46:49,1,1,1,1,5,5,4,562,142,11/15/2025 21:46,11/15/2025 21:49,2,2,2,5,5,2,4,1,5,1,5,1,1
58589AE5E46F44239E9C25F71076DEB0,Increasing,positive_test,2025-11-15 19:39:38,2025-11-15 19:46:04,2,2,2,3,1,2,1,386,68,11/15/2025 20:46,11/15/2025 20:47,2,2,2,2,2,3,1,2,5,2,5,2,1
B3BB85278A9E4E3DA98C2135D834901C,Flat,control,2025-11-15 20:36:20,2025-11-15 20:43:27,0,-1,-1,2,3,4,4,427,266,11/15/2025 21:43,11/15/2025 21:47,1,1,1,5,4,3,5,2,3,3,3,3,0
08D63762571940F5AA4DDBF6F1CCD5E8,Increasing,positive_test,2025-11-15 20:34:52,2025-11-15 20:36:42,-1,-1,-1,2,2,3,1,110,37,11/15/2025 21:36,11/15/2025 21:37,1,1,1,4,4,3,3,1,4,5,4,4,1
A37D6C13BEC34DB69E7F039AEE2FE2D4,Increasing,negative_test,2025-11-15 20:35:19,2025-11-15 20:38:29,2,1,1,3,5,1,1,190,75,11/15/2025 21:38,11/15/2025 21:39,1,1,1,3,4,4,1,2,1,5,1,4,1
0FAF5009D52C408E8A8ADCE8F9A90156,Flat,negative_test,2025-11-15 20:34:59,2025-11-15 20:38:58,-1,-2,-1,2,5,4,1,239,62,11/15/2025 21:38,11/15/2025 21:40,-2,-2,-2,4,4,1,1,2,5,1,1,5,0
611D484654AC4E27A205859BDED8AC9D,Flat,negative_test,2025-11-15 20:41:40,2025-11-15 20:46:33,1,1,1,2,4,4,3,293,87,11/15/2025 21:46,11/15/2025 21:48,1,1,1,3,4,3,3,1,4,2,1,5,0
10861BB870C84EC2B0CEB82CDFCCF5E7,Flat,control,2025-11-15 20:40:21,2025-11-15 20:47:15,1,1,1,3,4,2,3,414,128,11/15/2025 21:47,11/15/2025 21:49,1,1,1,3,4,3,3,2,5,2,4,2,0
F10B5079F863411ABD85CF7C5BD46E53,Increasing,control,2025-11-15 20:42:43,2025-11-15 20:48:04,1,1,1,3,3,4,5,321,75,11/15/2025 21:48,11/15/2025 21:49,1,1,-1,4,4,2,5,1,5,1,4,2,1
AFC33A1B113447C0869619BB77397BBC,Flat,positive_test,2025-11-15 20:39:48,2025-11-15 20:49:00,1,1,2,3,4,2,4,552,146,11/15/2025 21:49,11/15/2025 21:51,1,1,0,4,4,3,2,2,4,2,4,2,0
09F8069A3FB74F4FAA9BAAE47F366173,Flat,positive_test,2025-11-15 20:37:03,2025-11-15 20:40:56,-1,-1,0,3,3,2,1,233,44,11/15/2025 21:40,11/15/2025 21:41,-1,-1,-1,4,3,3,2,2,5,1,3,3,0
A6FED41074EC466B82B6526941FA52A3,Increasing,positive_test,2025-11-15 20:37:06,2025-11-15 20:41:14,2,2,2,5,5,3,4,248,88,11/15/2025 21:41,11/15/2025 21:42,1,2,2,3,5,4,4,1,5,2,5,1,1
7954E4F0FCA7436C9442FDB61DB6B870,Increasing,positive_test,2025-11-15 20:36:21,2025-11-15 20:41:27,2,1,1,2,5,5,2,306,65,11/15/2025 21:41,11/15/2025 21:42,2,1,1,5,5,3,2,1,4,1,5,1,1
6C7E93ACC9944D9FA66CFCF329529AAE,Flat,control,2025-11-15 20:39:17,2025-11-15 20:42:18,-1,1,-1,4,4,4,5,181,49,11/15/2025 21:42,11/15/2025 21:43,-1,-1,1,2,4,4,5,2,4,1,4,1,0
91D2D277537E458ABD33131D129718BA,Increasing,control,2025-11-15 20:38:14,2025-11-15 20:42:41,1,0,0,4,1,2,1,267,66,11/15/2025 21:42,11/15/2025 21:43,2,1,1,3,3,5,3,1,5,1,5,1,1
32CEFE45B786446F90DB3A35BF8BDA7C,Flat,positive_test,2025-11-15 20:39:10,2025-11-15 20:44:01,0,0,0,4,4,3,3,291,121,11/15/2025 21:44,11/15/2025 21:46,0,0,0,4,4,4,3,2,4,2,4,2,0
C12729A42845477FAE86A41DD3FF6393,Increasing,positive_test,2025-11-15 20:39:00,2025-11-15 20:44:04,1,1,1,2,4,4,2,304,83,11/15/2025 21:44,11/15/2025 21:45,1,1,1,5,4,2,2,3,4,2,5,1,1
035BECDC36BC432B860957E927B77071,Increasing,positive_test,2025-11-15 20:40:31,2025-11-15 20:44:55,2,1,2,5,5,3,5,264,62,11/15/2025 21:44,11/15/2025 21:46,2,2,2,2,5,4,5,1,4,2,5,2,1
A4D4E985E90C44089B7440BAF4E72132,Flat,control,2025-11-15 20:41:16,2025-11-15 20:45:38,1,1,1,3,3,2,4,262,55,11/15/2025 21:45,11/15/2025 21:46,1,1,0,4,4,4,4,1,2,3,2,4,0
C07D81ACE1194B10B2244881EE473D54,Increasing,negative_test,2025-11-15 20:40:06,2025-11-15 20:45:38,-1,-1,-1,1,3,3,1,332,55,11/15/2025 21:45,11/15/2025 21:46,-1,-1,-1,4,4,4,1,1,3,3,3,5,1
3059F87C489542AE81F2F2A9DE36C7C9,Increasing,negative_test,2025-11-15 20:41:30,2025-11-15 20:45:53,1,1,1,5,2,1,2,263,89,11/15/2025 21:45,11/15/2025 21:47,-1,0,0,1,3,4,2,1,4,2,3,3,1
48C1A1FFFE524B71AD49E3EDBF8B335D,Increasing,control,2025-11-15 20:35:39,2025-11-15 20:39:04,0,0,0,3,4,4,5,205,52,11/15/2025 21:39,11/15/2025 21:39,0,0,0,3,3,3,5,1,1,5,1,5,1
0F92C0183392491295FA885EB5927CDD,Increasing,negative_test,2025-11-15 20:36:47,2025-11-15 20:39:31,2,2,2,5,3,5,3,164,85,11/15/2025 21:39,11/15/2025 21:40,-1,-1,-1,1,5,3,3,1,5,1,1,5,1
763A102B53214BD1B185859219EDF4DD,Increasing,control,2025-11-15 20:35:58,2025-11-15 20:40:14,-1,-1,-2,3,2,2,2,256,72,11/15/2025 21:40,11/15/2025 21:41,-2,-2,-2,2,1,2,2,1,4,2,3,3,1
E3A2B76E62BC4753AE560FB8FC0B1BA2,Increasing,control,2025-11-15 20:39:36,2025-11-15 20:46:39,1,1,1,2,4,4,4,423,135,11/15/2025 21:46,11/15/2025 21:48,1,1,1,4,4,4,4,1,4,2,4,2,1
75B78C7B0E8144E0A348DAF6C8B3EB17,Increasing,positive_test,2025-11-15 20:42:29,2025-11-15 20:47:00,2,2,2,5,5,5,5,271,89,11/15/2025 21:47,11/15/2025 21:48,2,2,2,5,5,5,5,1,5,2,5,2,1
AE2EECF0AC7B477A98D388F925C7AA03,Increasing,control,2025-11-15 20:36:15,2025-11-15 20:40:24,1,1,1,5,4,4,5,249,109,11/15/2025 21:40,11/15/2025 21:42,2,2,1,5,4,4,5,1,4,2,4,2,1
6E1EAE46C1494860A8E541B19C0746A7,Flat,control,2025-11-15 20:43:15,2025-11-15 20:47:33,-1,-1,-1,3,4,2,4,258,216,11/15/2025 21:47,11/15/2025 21:51,1,0,0,4,2,2,3,2,5,1,5,1,0
D1F6FCC3D66742A7A3F7E113B6A7A28B,Flat,control,2025-11-15 20:47:35,2025-11-15 20:54:50,-1,-1,-1,4,2,2,4,435,154,11/15/2025 21:54,11/15/2025 21:57,-1,-1,-1,2,2,3,2,2,3,3,4,2,0
410A2CF52E8E432380E7170AC45EEC17,Increasing,positive_test,2025-11-15 20:37:11,2025-11-15 20:42:34,-1,-1,-1,3,4,2,2,323,116,11/15/2025 21:42,11/15/2025 21:44,-1,0,0,2,3,3,1,1,3,3,4,2,1
1BB2F7BCFF204F869A86A204DC3BD58C,Flat,negative_test,2025-11-15 20:36:27,2025-11-15 20:42:38,0,0,0,3,3,3,3,371,62,11/15/2025 21:42,11/15/2025 21:43,0,0,0,3,3,3,3,1,4,2,1,5,0
BA7173AC7E8A4B209BB95F0369ED97D3,Flat,positive_test,2025-11-15 20:42:21,2025-11-15 20:48:30,1,0,1,2,2,4,2,369,102,11/15/2025 21:48,11/15/2025 21:50,1,1,1,4,2,3,3,2,4,1,4,1,0
F253B4C27408418F9ED1FCD216A161B9,Flat,control,2025-11-15 20:40:20,2025-11-15 20:44:33,-1,-2,-1,2,2,4,4,253,54,11/15/2025 21:44,11/15/2025 21:45,-1,-1,-1,4,1,3,4,2,2,2,2,2,0
52CAE7E8B5C64B989423DAAC72CBF884,Increasing,negative_test,2025-11-15 20:40:17,2025-11-15 20:44:52,1,1,1,3,5,3,3,275,68,11/15/2025 21:44,11/15/2025 21:46,2,2,2,3,5,3,2,1,5,1,5,1,1
27A5EA5F51CD406E9EC753BFC7B0D8AD,Increasing,positive_test,2025-11-15 20:38:19,2025-11-15 20:45:01,1,-2,-2,4,4,3,4,402,249,11/15/2025 21:45,11/15/2025 21:49,-1,-1,-1,4,4,4,4,3,4,1,4,2,1
3FB4AC9EE3524EABA541261F9CE150B8,Flat,control,2025-11-15 20:36:22,2025-11-15 20:45:10,1,1,-1,4,3,1,1,528,43,11/15/2025 21:45,11/15/2025 21:45,1,0,-1,2,4,2,3,2,3,3,4,2,0
8E1272409CF642F5AB2F9D4E6224DF9A,Flat,positive_test,2025-11-15 20:38:50,2025-11-15 20:45:28,1,2,2,3,4,4,4,398,146,11/15/2025 21:45,11/15/2025 21:47,2,1,1,3,3,3,4,1,4,2,4,2,0
F43B7171466F479E84FD141F1FA52B40,Increasing,positive_test,2025-11-15 20:41:07,2025-11-15 20:46:03,1,2,2,4,5,3,3,296,81,11/15/2025 21:46,11/15/2025 21:47,2,2,2,3,5,5,3,1,5,1,5,2,1
118B27909D764400968EF1E64B38D27D,Increasing,negative_test,2025-11-15 20:39:03,2025-11-15 20:48:55,-1,-1,-2,4,4,1,2,592,142,11/15/2025 21:48,11/15/2025 21:51,-1,-2,-2,1,4,3,3,1,5,1,4,2,1
E4DB15F3E3D34BCCAA54F16E6C940C07,Flat,negative_test,2025-11-15 20:45:01,2025-11-15 20:50:20,-1,0,-1,2,3,3,4,319,297,11/15/2025 21:50,11/15/2025 21:55,2,1,1,2,4,2,3,1,4,2,3,3,0
E3D81837CF21477AB2FC96BBF7F02C9C,Increasing,positive_test,2025-11-15 20:46:08,2025-11-15 20:51:23,-1,-1,-1,3,3,3,1,315,62,11/15/2025 21:51,11/15/2025 21:52,-1,-1,-1,4,4,3,2,1,3,3,5,1,1
1AB14046F2DB4B52BEE0FFF482B47E88,Increasing,control,2025-11-15 20:52:48,2025-11-15 20:56:58,1,1,1,3,4,3,3,250,53,11/15/2025 21:56,11/15/2025 21:57,1,1,1,4,4,4,4,1,3,4,4,3,1
6D065B2BD20D417B974A06D759CAD692,Flat,positive_test,2025-11-15 20:54:35,2025-11-15 20:59:09,2,0,1,3,3,5,4,274,81,11/15/2025 21:59,11/15/2025 22:00,1,0,1,2,4,3,3,2,4,1,5,1,0
4B3F9022DB2D448E9CC9875DA5D5F562,Flat,positive_test,2025-11-15 21:01:40,2025-11-15 21:06:04,-1,-1,0,3,4,3,2,264,65,11/15/2025 22:06,11/15/2025 22:07,1,1,1,4,4,2,2,1,3,3,5,1,0
CDE61040F59C4A269B8A7A5DFBE1EB4A,Flat,control,2025-11-15 21:03:59,2025-11-15 21:07:19,1,0,0,4,3,4,4,200,65,11/15/2025 22:07,11/15/2025 22:08,1,1,1,4,2,3,4,2,4,2,3,3,0
074319D7838A4620AC283635EBA30D3C,Increasing,negative_test,2025-11-15 21:06:15,2025-11-15 21:07:53,1,0,1,3,2,3,5,98,24,11/15/2025 22:07,11/15/2025 22:08,-1,-1,0,4,4,3,2,1,3,4,2,3,1
C31D4B38E6704E90AC16A6AD72180BD2,Flat,negative_test,2025-11-15 21:06:40,2025-11-15 21:11:27,1,1,1,4,4,4,3,287,99,11/15/2025 22:11,11/15/2025 22:13,1,1,1,4,4,4,3,1,5,1,1,5,0
31BAEF06882E4546AE6D8C870887E2CB,Flat,negative_test,2025-11-15 21:04:55,2025-11-15 21:11:50,0,0,1,1,4,2,4,415,160,11/15/2025 22:11,11/15/2025 22:14,-1,0,0,2,4,3,3,1,4,1,1,5,0
