StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,CouldLearn_1,CouldLearn_2,CouldLearn_3,Confidence_NC,Confidence_MS,Confidence_CV,Confidence_SA,Positive_Test_First,Negative_Test_First,Positive_Test_Second,Negative_Test_Second,Slope,turkid,condid,message_type,Q_DataPolicyViolations
11/15/2025 20:24,11/15/2025 20:25,0,100,78,1,11/15/2025 20:25,R_6VsX128Qn2NmitC,anonymous,EN,1,1,1,5,3,4,2,3,3,5,1,1,98C16A8BE0E143998A224A5676B7C245,1,positive_test,NA
11/15/2025 20:25,11/15/2025 20:28,0,100,145,1,11/15/2025 20:28,R_6SbvUblIZGlD89H,anonymous,EN,-1,-1,-1,3,4,2,4,3,3,5,1,1,281A15922C6E4DF2BBA0245CFD716D59,0,positive_test,NA
11/15/2025 20:32,11/15/2025 20:33,0,100,52,1,11/15/2025 20:33,R_3vBjf40EQiUb66t,anonymous,EN,-2,-2,-1,2,4,3,1,5,1,2,4,1,2B0A2D3AAE8C4F3ABCEACA1EDEB20212,1,negative_test,NA
11/15/2025 20:33,11/15/2025 20:34,0,100,70,1,11/15/2025 20:34,R_6QgjDCqwnlctmNL,anonymous,EN,1,1,1,3,5,2,1,4,2,5,1,1,2D110C8A670E4DF0811C6FC010AF6635,1,positive_test,NA
11/15/2025 20:34,11/15/2025 20:35,0,100,60,1,11/15/2025 20:35,R_13Dbs6fvc6Z1SM2,anonymous,EN,-1,-2,-1,4,3,3,4,3,1,3,1,2,19BD49C073C342FFB0E47561FD0A0482,0,control,NA
11/15/2025 20:35,11/15/2025 20:36,0,100,67,1,11/15/2025 20:36,R_1wK4T2YIaqnMyZj,anonymous,EN,-2,-2,-2,2,2,3,3,5,1,1,5,2,3765DE826DE6446F867FF77A69F2AB4D,0,negative_test,NA
11/15/2025 20:38,11/15/2025 20:40,0,100,95,1,11/15/2025 20:40,R_53mqdpjsz3Gbec0,anonymous,EN,1,0,1,4,2,4,3,4,3,1,4,2,1F6D14219DB14F748F80AE9837CEEDF0,0,negative_test,NA
11/15/2025 20:46,11/15/2025 20:47,0,100,68,1,11/15/2025 20:47,R_51nQpTZZ8oBdLNW,anonymous,EN,2,2,2,2,2,3,1,5,2,5,2,2,58589AE5E46F44239E9C25F71076DEB0,1,positive_test,NA
11/15/2025 21:36,11/15/2025 21:37,0,100,37,1,11/15/2025 21:37,R_5jiFqnXmSWZgXYD,anonymous,EN,1,1,1,4,4,3,3,4,5,4,4,1,08D63762571940F5AA4DDBF6F1CCD5E8,1,positive_test,NA
11/15/2025 21:38,11/15/2025 21:39,0,100,75,1,11/15/2025 21:39,R_11T7Pj6d33pGP2T,anonymous,EN,1,1,1,3,4,4,1,1,5,1,4,2,A37D6C13BEC34DB69E7F039AEE2FE2D4,1,negative_test,NA
11/15/2025 21:39,11/15/2025 21:39,0,100,52,1,11/15/2025 21:39,R_1R8GxWm443vYzfZ,anonymous,EN,0,0,0,3,3,3,5,1,5,1,5,1,48C1A1FFFE524B71AD49E3EDBF8B335D,1,control,NA
11/15/2025 21:38,11/15/2025 21:40,0,100,62,1,11/15/2025 21:40,R_3NnvlwcinDK7Usk,anonymous,EN,-2,-2,-2,4,4,1,1,5,1,1,5,2,0FAF5009D52C408E8A8ADCE8F9A90156,0,negative_test,NA
11/15/2025 21:39,11/15/2025 21:40,0,100,83,1,11/15/2025 21:40,R_1K74ZkpCGEjqhC5,anonymous,EN,1,1,1,4,4,4,4,3,3,5,1,1,82D79F34B956430B90F0EF46DAE7DC41,1,positive_test,NA
